responseTime,prolificID,userID,questionNum,response,loadTime,questionID,selectedPart,alignmentCategory,anchorCategory,anchorDistance,alignmentDistance,round5Distance,alignmentType,alignmentPosition,chartType,UID,selectedLabel,error,absError,correct,anchor,alignment
3.44,60ec03471451032a030cfec1,1,17.0,25,2025-04-22 17:51:57.850,18.0,18,far-from-aligned,far-anchor,7,7,2,25,18,pie,1,C,7.0,7.0,False,non-anchor,unaligned
7.47,60ec03471451032a030cfec1,1,18.0,45,2025-04-22 17:52:01.342,19.0,23,near-aligned,near-anchor,2,3,2,50,47,pie,1,B,22.0,22.0,False,non-anchor,unaligned
5.462,60ec03471451032a030cfec1,1,19.0,30,2025-04-22 17:52:08.867,20.0,53,far-from-aligned,far-anchor,3,10,2,75,12,line,1,F,-23.0,23.0,False,non-anchor,unaligned
13.692,60ec03471451032a030cfec1,1,20.0,40,2025-04-22 17:52:14.382,21.0,48,aligned,near-anchor,2,0,2,0,0,line,1,C,-8.0,8.0,False,non-anchor,aligned
13.827,60ec03471451032a030cfec1,1,21.0,15,2025-04-22 17:52:28.131,22.0,32,far-from-aligned,far-anchor,7,7,2,75,36,pie,1,A,-17.0,17.0,False,non-anchor,unaligned
5.071,60ec03471451032a030cfec1,1,22.0,20,2025-04-22 17:52:42.009,23.0,25,far-from-aligned,anchor,0,7,0,0 and 25,7,line,1,D,-5.0,5.0,False,anchor,unaligned
3.169,60ec03471451032a030cfec1,1,23.0,60,2025-04-22 17:52:47.135,24.0,41,near-aligned,far-anchor,9,4,1,100,55,pie,1,A,19.0,19.0,False,non-anchor,unaligned
5.359,65847ecf0896ca006d2c00b7,2,0.0,30,2025-04-22 17:52:57.854,97.0,25,far-from-aligned,anchor,0,6,0,50 and 75,44,pie,2,A,5.0,5.0,False,anchor,unaligned
3.518,65847ecf0896ca006d2c00b7,2,1.0,25,2025-04-22 17:53:03.377,98.0,25,aligned,anchor,0,0,0,50 and 75,50,line,2,G,0.0,0.0,True,anchor,aligned
3.578,65847ecf0896ca006d2c00b7,2,2.0,22,2025-04-22 17:53:07.000,99.0,21,aligned,near-anchor,4,0,1,50,50,line,2,D,1.0,1.0,False,non-anchor,aligned
3.978,60ec03471451032a030cfec1,1,24.0,40,2025-04-22 17:53:12.119,25.0,46,near-aligned,near-anchor,4,1,1,50,3,line,1,F,-6.0,6.0,False,non-anchor,unaligned
6.439,65847ecf0896ca006d2c00b7,2,3.0,50,2025-04-22 17:53:10.687,100.0,46,far-from-aligned,near-anchor,4,7,1,75,36,line,2,G,4.0,4.0,False,non-anchor,unaligned
4.326,60ec03471451032a030cfec1,1,25.0,80,2025-04-22 17:53:16.154,26.0,31,aligned,far-anchor,6,0,1,100,69,line,1,C,49.0,49.0,False,non-anchor,aligned
4.095,65847ecf0896ca006d2c00b7,2,4.0,40,2025-04-22 17:53:17.227,101.0,39,near-aligned,far-anchor,11,1,1,50,49,line,2,C,1.0,1.0,False,non-anchor,unaligned
3.278,60ec03471451032a030cfec1,1,26.0,30,2025-04-22 17:53:20.540,27.0,50,far-from-aligned,anchor,0,11,0,25 and 75,14,line,1,C,-20.0,20.0,False,anchor,unaligned
5.763,65847ecf0896ca006d2c00b7,2,5.0,29,2025-04-22 17:53:21.422,102.0,32,near-aligned,far-anchor,7,4,2,25,29,line,2,F,-3.0,3.0,False,non-anchor,unaligned
6.19,60ec03471451032a030cfec1,1,27.0,60,2025-04-22 17:53:23.876,28.0,48,aligned,near-anchor,2,0,2,75,27,line,1,F,12.0,12.0,False,non-anchor,aligned
5.544,65847ecf0896ca006d2c00b7,2,6.0,26,2025-04-22 17:53:27.287,103.0,26,far-from-aligned,near-anchor,1,5,1,50,19,pie,2,F,0.0,0.0,True,non-anchor,unaligned
6.248,60ec03471451032a030cfec1,1,28.0,60,2025-04-22 17:53:30.118,29.0,19,aligned,far-anchor,6,0,1,75,56,line,1,B,41.0,41.0,False,non-anchor,aligned
4.659,65847ecf0896ca006d2c00b7,2,7.0,20,2025-04-22 17:53:32.935,104.0,21,aligned,near-anchor,4,0,1,0,0,pie,2,C,-1.0,1.0,False,non-anchor,aligned
3.094,60ec03471451032a030cfec1,1,29.0,90,2025-04-22 17:53:36.421,30.0,16,aligned,far-anchor,9,0,1,100,84,line,1,A,74.0,74.0,False,non-anchor,aligned
5.763,65847ecf0896ca006d2c00b7,2,8.0,45,2025-04-22 17:53:37.696,105.0,39,near-aligned,far-anchor,11,3,1,100,58,line,2,A,6.0,6.0,False,non-anchor,unaligned
5.066,60ec03471451032a030cfec1,1,30.0,60,2025-04-22 17:53:39.569,31.0,42,far-from-aligned,far-anchor,8,7,2,50,43,line,1,F,18.0,18.0,False,non-anchor,unaligned
3.669,65847ecf0896ca006d2c00b7,2,9.0,25,2025-04-22 17:53:43.562,106.0,25,near-aligned,anchor,0,2,0,25 and 50,23,pie,2,G,0.0,0.0,True,anchor,unaligned
4.367,65847ecf0896ca006d2c00b7,2,10.0,29,2025-04-22 17:53:47.347,107.0,30,aligned,far-anchor,5,0,0,100,70,pie,2,D,-1.0,1.0,False,non-anchor,aligned
8.108,60ec03471451032a030cfec1,1,31.0,90,2025-04-22 17:53:44.689,32.0,50,aligned,anchor,0,0,0,50 and 100,50,line,1,G,40.0,40.0,False,anchor,aligned
5.404,65847ecf0896ca006d2c00b7,2,11.0,32,2025-04-22 17:53:51.816,108.0,34,near-aligned,far-anchor,9,4,1,100,62,pie,2,B,-2.0,2.0,False,non-anchor,unaligned
6.413,60ec03471451032a030cfec1,1,32.0,35,2025-04-22 17:53:52.849,33.0,27,near-aligned,near-anchor,2,4,2,50,19,line,1,C,8.0,8.0,False,non-anchor,unaligned
9.186,60ec03471451032a030cfec1,1,33.0,45,2025-04-22 17:53:59.316,34.0,50,near-aligned,anchor,0,3,0,0 and 50,3,line,1,C,-5.0,5.0,False,anchor,unaligned
6.949,65847ecf0896ca006d2c00b7,2,12.0,45,2025-04-22 17:54:08.023,109.0,43,near-aligned,far-anchor,7,3,2,50,47,pie,2,D,2.0,2.0,False,non-anchor,unaligned
12.693,60ec03471451032a030cfec1,1,34.0,55,2025-04-22 17:54:08.561,35.0,24,far-from-aligned,near-anchor,1,9,1,50,41,line,1,C,31.0,31.0,False,non-anchor,unaligned
7.613,65847ecf0896ca006d2c00b7,2,13.0,42,2025-04-22 17:54:15.076,110.0,51,far-from-aligned,far-anchor,1,6,1,0,6,line,2,A,-9.0,9.0,False,non-anchor,unaligned
4.795,65847ecf0896ca006d2c00b7,2,14.0,23,2025-04-22 17:54:22.800,111.0,21,far-from-aligned,near-anchor,4,6,1,25,19,pie,2,C,2.0,2.0,False,non-anchor,unaligned
5.184,65847ecf0896ca006d2c00b7,2,15.0,53,2025-04-22 17:54:27.698,112.0,54,near-aligned,far-anchor,4,1,1,75,20,pie,2,B,-1.0,1.0,False,non-anchor,unaligned
11.698,60ec03471451032a030cfec1,1,35.0,80,2025-04-22 17:54:21.308,36.0,25,near-aligned,anchor,0,3,0,75 and 100,72,line,1,D,55.0,55.0,False,anchor,unaligned
5.234,65847ecf0896ca006d2c00b7,2,16.0,23,2025-04-22 17:54:32.984,113.0,22,far-from-aligned,near-anchor,3,6,2,25,19,line,2,A,1.0,1.0,False,non-anchor,unaligned
4.808,65847ecf0896ca006d2c00b7,2,17.0,50,2025-04-22 17:54:38.318,114.0,49,near-aligned,near-anchor,1,3,1,75,29,line,2,F,1.0,1.0,False,non-anchor,unaligned
10.541,65847ecf0896ca006d2c00b7,2,18.0,37,2025-04-22 17:54:43.227,115.0,39,aligned,far-anchor,11,0,1,50,50,line,2,B,-2.0,2.0,False,non-anchor,aligned
5.379,65847ecf0896ca006d2c00b7,2,19.0,27,2025-04-22 17:54:53.870,116.0,27,aligned,near-anchor,2,0,2,0,0,pie,2,A,0.0,0.0,True,non-anchor,aligned
4.445,65847ecf0896ca006d2c00b7,2,20.0,24,2025-04-22 17:54:59.355,117.0,24,aligned,near-anchor,1,0,1,25,25,line,2,B,0.0,0.0,True,non-anchor,aligned
6.29,65847ecf0896ca006d2c00b7,2,21.0,35,2025-04-22 17:55:03.906,118.0,39,far-from-aligned,far-anchor,11,6,1,50,17,pie,2,C,-4.0,4.0,False,non-anchor,unaligned
4.461,65847ecf0896ca006d2c00b7,2,22.0,25,2025-04-22 17:55:10.307,119.0,29,far-from-aligned,near-anchor,4,7,1,75,39,line,2,G,-4.0,4.0,False,non-anchor,unaligned
4.004,65847ecf0896ca006d2c00b7,2,23.0,30,2025-04-22 17:55:14.868,120.0,30,near-aligned,far-anchor,5,2,0,50,48,pie,2,C,0.0,0.0,True,non-anchor,unaligned
5.687,65847ecf0896ca006d2c00b7,2,24.0,37,2025-04-22 17:55:33.478,121.0,36,aligned,far-anchor,11,0,1,0,0,line,2,F,1.0,1.0,False,non-anchor,aligned
3.928,65847ecf0896ca006d2c00b7,2,25.0,20,2025-04-22 17:55:39.266,122.0,18,aligned,far-anchor,7,0,2,25,7,pie,2,E,2.0,2.0,False,non-anchor,aligned
6.984,65847ecf0896ca006d2c00b7,2,26.0,43,2025-04-22 17:55:43.294,123.0,39,near-aligned,far-anchor,11,4,1,50,7,pie,2,D,4.0,4.0,False,non-anchor,unaligned
6.99,65847ecf0896ca006d2c00b7,2,27.0,47,2025-04-22 17:55:50.390,124.0,47,far-from-aligned,near-anchor,3,7,2,75,35,pie,2,A,0.0,0.0,True,non-anchor,unaligned
8.018,65847ecf0896ca006d2c00b7,2,28.0,26,2025-04-22 17:55:57.481,125.0,29,far-from-aligned,near-anchor,4,7,1,50,57,pie,2,G,-3.0,3.0,False,non-anchor,unaligned
7.535,65847ecf0896ca006d2c00b7,2,29.0,25,2025-04-22 17:56:05.614,126.0,31,far-from-aligned,far-anchor,6,5,1,50,14,line,2,G,-6.0,6.0,False,non-anchor,unaligned
8.287,65847ecf0896ca006d2c00b7,2,30.0,42,2025-04-22 17:56:13.253,127.0,39,near-aligned,far-anchor,11,4,1,100,57,line,2,G,3.0,3.0,False,non-anchor,unaligned
6.68,65847ecf0896ca006d2c00b7,2,31.0,52,2025-04-22 17:56:21.643,128.0,52,far-from-aligned,far-anchor,2,11,2,75,12,pie,2,E,0.0,0.0,True,non-anchor,unaligned
8.469,65847ecf0896ca006d2c00b7,2,32.0,22,2025-04-22 17:56:28.439,129.0,21,aligned,near-anchor,4,0,1,75,75,line,2,A,1.0,1.0,False,non-anchor,aligned
3.32,60ec03471451032a030cfec1,1,36.0,40,2025-04-22 17:56:33.902,37.0,46,far-from-aligned,near-anchor,4,9,1,25,16,line,1,C,-6.0,6.0,False,non-anchor,unaligned
2.853,60ec03471451032a030cfec1,1,37.0,15,2025-04-22 17:56:37.277,38.0,23,far-from-aligned,near-anchor,2,10,2,25,12,line,1,A,-8.0,8.0,False,non-anchor,unaligned
2.981,60ec03471451032a030cfec1,1,38.0,60,2025-04-22 17:56:40.190,39.0,50,far-from-aligned,anchor,0,9,0,50 and 100,41,pie,1,D,10.0,10.0,False,anchor,unaligned
8.581,65847ecf0896ca006d2c00b7,2,33.0,24,2025-04-22 17:56:37.020,130.0,24,aligned,near-anchor,1,0,1,100,76,line,2,G,0.0,0.0,True,non-anchor,aligned
6.281,60ec03471451032a030cfec1,1,39.0,80,2025-04-22 17:56:43.220,40.0,40,near-aligned,far-anchor,10,1,0,100,59,line,1,C,40.0,40.0,False,non-anchor,unaligned
5.412,65847ecf0896ca006d2c00b7,2,34.0,26,2025-04-22 17:56:45.705,131.0,28,near-aligned,near-anchor,3,3,2,50,19,pie,2,G,-2.0,2.0,False,non-anchor,unaligned
3.777,60ec03471451032a030cfec1,1,40.0,35,2025-04-22 17:56:49.551,41.0,50,aligned,anchor,0,0,0,25 and 75,25,pie,1,D,-15.0,15.0,False,anchor,aligned
5.588,65847ecf0896ca006d2c00b7,2,35.0,25,2025-04-22 17:56:51.222,132.0,25,far-from-aligned,anchor,0,11,0,75 and 100,64,pie,2,F,0.0,0.0,True,anchor,unaligned
4.553,65847ecf0896ca006d2c00b7,2,36.0,26,2025-04-22 17:56:58.987,133.0,30,far-from-aligned,far-anchor,5,7,0,0,7,pie,2,C,-4.0,4.0,False,non-anchor,unaligned
5.011,65847ecf0896ca006d2c00b7,2,37.0,52,2025-04-22 17:57:03.657,134.0,52,aligned,far-anchor,2,0,2,25,25,pie,2,D,0.0,0.0,True,non-anchor,aligned
3.907,65847ecf0896ca006d2c00b7,2,38.0,48,2025-04-22 17:57:08.771,135.0,49,near-aligned,near-anchor,1,3,1,25,22,pie,2,C,-1.0,1.0,False,non-anchor,unaligned
3.025,65847ecf0896ca006d2c00b7,2,39.0,50,2025-04-22 17:57:12.785,136.0,50,aligned,anchor,0,0,0,50 and 100,50,pie,2,A,0.0,0.0,True,anchor,aligned
28.729,60ec03471451032a030cfec1,1,41.0,15,2025-04-22 17:56:53.388,42.0,20,far-from-aligned,far-anchor,5,7,0,25,12,pie,1,A,-5.0,5.0,False,non-anchor,unaligned
6.949,65847ecf0896ca006d2c00b7,2,40.0,19,2025-04-22 17:57:15.915,137.0,19,aligned,far-anchor,6,0,1,0,0,pie,2,E,0.0,0.0,True,non-anchor,aligned
3.961,65847ecf0896ca006d2c00b7,2,41.0,24,2025-04-22 17:57:22.970,138.0,22,near-aligned,near-anchor,3,1,2,75,74,line,2,B,2.0,2.0,False,non-anchor,unaligned
4.216,65847ecf0896ca006d2c00b7,2,42.0,50,2025-04-22 17:57:27.039,139.0,50,aligned,anchor,0,0,0,25 and 75,25,line,2,E,0.0,0.0,True,anchor,aligned
5.939,65847ecf0896ca006d2c00b7,2,43.0,40,2025-04-22 17:57:31.360,140.0,40,aligned,far-anchor,10,0,0,0,0,line,2,A,0.0,0.0,True,non-anchor,aligned
4.783,65847ecf0896ca006d2c00b7,2,44.0,22,2025-04-22 17:57:37.403,141.0,21,near-aligned,near-anchor,4,2,1,50 and 75,52,pie,2,E,1.0,1.0,False,non-anchor,unaligned
24.477,60ec03471451032a030cfec1,1,42.0,35,2025-04-22 17:57:22.180,43.0,17,near-aligned,far-anchor,8,3,2,0,3,pie,1,A,18.0,18.0,False,non-anchor,unaligned
5.723,65847ecf0896ca006d2c00b7,2,45.0,17,2025-04-22 17:57:42.287,142.0,16,far-from-aligned,far-anchor,9,8,1,75 and 75,67,line,2,D,1.0,1.0,False,non-anchor,unaligned
6.149,60ec03471451032a030cfec1,1,43.0,15,2025-04-22 17:57:46.713,44.0,16,near-aligned,far-anchor,9,2,1,25,7,line,1,B,-1.0,1.0,False,non-anchor,unaligned
5.594,65847ecf0896ca006d2c00b7,2,46.0,50,2025-04-22 17:57:48.108,143.0,49,near-aligned,near-anchor,1,3,1,25,22,line,2,G,1.0,1.0,False,non-anchor,unaligned
4.882,65847ecf0896ca006d2c00b7,2,47.0,50,2025-04-22 17:57:53.807,144.0,49,near-aligned,near-anchor,1,3,1,50,47,line,2,F,1.0,1.0,False,non-anchor,unaligned
11.006,60ec03471451032a030cfec1,1,44.0,16,2025-04-22 17:57:52.917,45.0,19,near-aligned,far-anchor,6,2,1,100,79,line,1,B,-3.0,3.0,False,non-anchor,unaligned
5.577,65847ecf0896ca006d2c00b7,2,48.0,40,2025-04-22 17:58:01.908,145.0,50,far-from-aligned,anchor,0,12,0,50 and 100,38,line,2,C,-10.0,10.0,False,anchor,unaligned
3.939,60ec03471451032a030cfec1,1,45.0,25,2025-04-22 17:58:03.976,46.0,42,near-aligned,far-anchor,8,3,2,0,3,pie,1,A,-17.0,17.0,False,non-anchor,unaligned
3.017,60ec03471451032a030cfec1,1,46.0,25,2025-04-22 17:58:07.970,47.0,17,far-from-aligned,far-anchor,8,5,2,25,20,pie,1,C,8.0,8.0,False,non-anchor,unaligned
4.451,65847ecf0896ca006d2c00b7,2,49.0,25,2025-04-22 17:58:07.586,146.0,24,near-aligned,near-anchor,1,2,1,50,28,pie,2,E,1.0,1.0,False,non-anchor,unaligned
4.123,60ec03471451032a030cfec1,1,47.0,15,2025-04-22 17:58:11.046,48.0,39,far-from-aligned,far-anchor,11,6,1,75,42,pie,1,C,-24.0,24.0,False,non-anchor,unaligned
4.515,65847ecf0896ca006d2c00b7,2,50.0,26,2025-04-22 17:58:12.140,147.0,22,far-from-aligned,near-anchor,3,10,2,25,13,pie,2,B,4.0,4.0,False,non-anchor,unaligned
4.986,65847ecf0896ca006d2c00b7,2,51.0,46,2025-04-22 17:58:16.771,148.0,47,aligned,near-anchor,3,0,2,100,53,pie,2,C,-1.0,1.0,False,non-anchor,aligned
6.174,65847ecf0896ca006d2c00b7,2,52.0,46,2025-04-22 17:58:21.864,149.0,44,near-aligned,far-anchor,6,3,1,50,47,line,2,B,2.0,2.0,False,non-anchor,unaligned
8.855,60ec03471451032a030cfec1,1,48.0,26,2025-04-22 17:58:20.746,49.0,40,aligned,far-anchor,10,0,0,50,10,pie,1,E,-14.0,14.0,False,non-anchor,aligned
5.146,65847ecf0896ca006d2c00b7,2,53.0,42,2025-04-22 17:58:28.135,150.0,45,far-from-aligned,far-anchor,5,8,0,50,42,pie,2,E,-3.0,3.0,False,non-anchor,unaligned
5.279,60ec03471451032a030cfec1,1,49.0,16,2025-04-22 17:58:29.656,50.0,48,aligned,near-anchor,2,0,2,100,52,pie,1,A,-32.0,32.0,False,non-anchor,aligned
6.534,65847ecf0896ca006d2c00b7,2,54.0,23,2025-04-22 17:58:33.385,151.0,21,far-from-aligned,near-anchor,4,7,1,50,43,pie,2,E,2.0,2.0,False,non-anchor,unaligned
6.436,60ec03471451032a030cfec1,1,50.0,20,2025-04-22 17:58:34.994,51.0,21,near-aligned,near-anchor,4,3,1,75,72,line,1,A,-1.0,1.0,False,non-anchor,unaligned
4.911,65847ecf0896ca006d2c00b7,2,55.0,40,2025-04-22 17:58:40.021,152.0,33,far-from-aligned,far-anchor,8,8,2,50,9,line,2,F,7.0,7.0,False,non-anchor,unaligned
5.752,60ec03471451032a030cfec1,1,51.0,40,2025-04-22 17:58:41.489,52.0,41,near-aligned,far-anchor,9,1,1,100,58,pie,1,D,-1.0,1.0,False,non-anchor,unaligned
4.533,65847ecf0896ca006d2c00b7,2,56.0,19,2025-04-22 17:58:45.039,153.0,16,near-aligned,far-anchor,9,3,1,75,56,pie,2,D,3.0,3.0,False,non-anchor,unaligned
3.424,62b7a7e776f241c59cf27ac9,8,0.0,65,2025-04-22 17:58:51.429,673.0,32,far-from-aligned,far-anchor,7,8,2,0,8,pie,8,D,33.0,33.0,False,non-anchor,unaligned
5.83,65847ecf0896ca006d2c00b7,2,57.0,27,2025-04-22 17:58:49.672,154.0,29,aligned,near-anchor,4,0,1,100,71,pie,2,A,-2.0,2.0,False,non-anchor,aligned
9.239,60ec03471451032a030cfec1,1,52.0,25,2025-04-22 17:58:47.298,53.0,21,aligned,near-anchor,4,0,1,75,75,pie,1,F,4.0,4.0,False,non-anchor,aligned
2.693,60ec03471451032a030cfec1,1,53.0,40,2025-04-22 17:58:56.593,54.0,30,far-from-aligned,far-anchor,5,6,0,75,39,pie,1,D,10.0,10.0,False,non-anchor,unaligned
5.0,62b7a7e776f241c59cf27ac9,8,1.0,41,2025-04-22 17:58:54.946,674.0,41,near-aligned,far-anchor,9,2,1,75,32,pie,8,F,0.0,0.0,True,non-anchor,unaligned
5.986,65847ecf0896ca006d2c00b7,2,58.0,20,2025-04-22 17:58:55.605,155.0,20,near-aligned,far-anchor,5,2,0,75,73,pie,2,F,0.0,0.0,True,non-anchor,unaligned
3.491,62b7a7e776f241c59cf27ac9,8,2.0,31,2025-04-22 17:59:00.034,675.0,33,near-aligned,far-anchor,8,2,2,100,65,line,8,G,-2.0,2.0,False,non-anchor,unaligned
4.024,65847ecf0896ca006d2c00b7,2,59.0,25,2025-04-22 17:59:01.695,156.0,30,far-from-aligned,far-anchor,5,9,0,100,61,line,2,E,-5.0,5.0,False,non-anchor,unaligned
2.544,62b7a7e776f241c59cf27ac9,8,3.0,25,2025-04-22 17:59:03.617,676.0,25,aligned,anchor,0,0,0,0 and 25,0,pie,8,C,0.0,0.0,True,anchor,aligned
3.245,62b7a7e776f241c59cf27ac9,8,4.0,24,2025-04-22 17:59:06.269,677.0,23,aligned,near-anchor,2,0,2,75,75,pie,8,B,1.0,1.0,False,non-anchor,aligned
12.946,60ec03471451032a030cfec1,1,54.0,29,2025-04-22 17:58:59.343,55.0,22,far-from-aligned,near-anchor,3,11,2,25 and 25,14,line,1,B,7.0,7.0,False,non-anchor,unaligned
2.989,62b7a7e776f241c59cf27ac9,8,5.0,51,2025-04-22 17:59:09.605,678.0,50,far-from-aligned,anchor,0,11,0,25 and 75,14,line,8,E,1.0,1.0,False,anchor,unaligned
3.407,62b7a7e776f241c59cf27ac9,8,6.0,21,2025-04-22 17:59:12.683,679.0,22,near-aligned,near-anchor,3,3,2,75,72,line,8,A,-1.0,1.0,False,non-anchor,unaligned
6.564,60ec03471451032a030cfec1,1,55.0,25,2025-04-22 17:59:12.347,56.0,47,far-from-aligned,near-anchor,3,9,2,50,12,pie,1,C,-22.0,22.0,False,non-anchor,unaligned
4.044,62b7a7e776f241c59cf27ac9,8,7.0,38,2025-04-22 17:59:16.181,680.0,40,aligned,far-anchor,10,0,0,75,35,line,8,A,-2.0,2.0,False,non-anchor,aligned
3.579,60ec03471451032a030cfec1,1,56.0,15,2025-04-22 17:59:18.965,57.0,46,near-aligned,near-anchor,4,2,1,25,23,pie,1,B,-31.0,31.0,False,non-anchor,unaligned
2.857,62b7a7e776f241c59cf27ac9,8,8.0,15,2025-04-22 17:59:20.313,681.0,20,far-from-aligned,far-anchor,5,6,0,75,61,line,8,G,-5.0,5.0,False,non-anchor,unaligned
2.064,62b7a7e776f241c59cf27ac9,8,9.0,25,2025-04-22 17:59:23.266,682.0,39,near-aligned,far-anchor,11,3,1,0,3,line,8,F,-14.0,14.0,False,non-anchor,unaligned
3.537,60ec03471451032a030cfec1,1,57.0,19,2025-04-22 17:59:22.602,58.0,24,aligned,near-anchor,1,0,1,0,0,line,1,B,-5.0,5.0,False,non-anchor,aligned
2.279,60ec03471451032a030cfec1,1,58.0,20,2025-04-22 17:59:26.211,59.0,47,far-from-aligned,near-anchor,3,6,2,50,44,line,1,B,-27.0,27.0,False,non-anchor,unaligned
4.008,62b7a7e776f241c59cf27ac9,8,10.0,20,2025-04-22 17:59:25.417,683.0,15,far-from-aligned,far-anchor,10,5,0,25 and 50,30,pie,8,D,5.0,5.0,False,non-anchor,unaligned
2.461,60ec03471451032a030cfec1,1,59.0,25,2025-04-22 17:59:28.547,60.0,37,far-from-aligned,far-anchor,12,6,2,50,7,pie,1,B,-12.0,12.0,False,non-anchor,unaligned
2.956,62b7a7e776f241c59cf27ac9,8,11.0,25,2025-04-22 17:59:29.525,684.0,20,near-aligned,far-anchor,5,3,0,25,22,pie,8,E,5.0,5.0,False,non-anchor,unaligned
4.993,65847ecf0896ca006d2c00b7,2,60.0,51,2025-04-22 17:59:32.938,157.0,50,near-aligned,anchor,0,3,0,0 and 50,3,line,2,B,1.0,1.0,False,anchor,unaligned
4.222,62b7a7e776f241c59cf27ac9,8,12.0,25,2025-04-22 17:59:39.060,685.0,24,aligned,near-anchor,1,0,1,50,50,pie,8,A,1.0,1.0,False,non-anchor,aligned
5.708,65847ecf0896ca006d2c00b7,2,61.0,48,2025-04-22 17:59:38.033,158.0,44,near-aligned,far-anchor,6,2,1,25,23,pie,2,A,4.0,4.0,False,non-anchor,unaligned
2.623,62b7a7e776f241c59cf27ac9,8,13.0,32,2025-04-22 17:59:43.378,686.0,38,near-aligned,far-anchor,12,2,2,100,60,line,8,B,-6.0,6.0,False,non-anchor,unaligned
3.768,62b7a7e776f241c59cf27ac9,8,14.0,48,2025-04-22 17:59:46.089,687.0,44,near-aligned,far-anchor,6,3,1,0 and 50,3,line,8,D,4.0,4.0,False,non-anchor,unaligned
6.37,65847ecf0896ca006d2c00b7,2,62.0,34,2025-04-22 17:59:43.848,159.0,32,aligned,far-anchor,7,0,2,25,25,pie,2,A,2.0,2.0,False,non-anchor,aligned
2.136,62b7a7e776f241c59cf27ac9,8,15.0,50,2025-04-22 17:59:49.945,688.0,48,aligned,near-anchor,2,0,2,0,0,pie,8,B,2.0,2.0,False,non-anchor,aligned
