"selectedPart","alignmentCategory","anchorCategory","anchorDistance","alignmentDistance","round5Distance","alignmentType","alignmentPosition","chartType","UID","selectedLabel"
21,"aligned","near-anchor",4,0,1,"0",0,"pie",2,"C"
27,"aligned","near-anchor",2,0,2,"50",23,"pie",2,"B"
24,"near-aligned","near-anchor",1,2,1,"50",28,"pie",2,"E"
49,"near-aligned","near-anchor",1,3,1,"25",22,"pie",2,"C"
21,"near-aligned","near-anchor",4,2,1,"50 and 75",52,"pie",2,"E"
29,"near-aligned","near-anchor",4,4,1,"25",29,"pie",2,"A"
28,"near-aligned","near-anchor",3,3,2,"50",19,"pie",2,"G"
22,"near-aligned","near-anchor",3,4,2,"75",71,"pie",2,"D"
47,"far-from-aligned","near-anchor",3,7,2,"75",35,"pie",2,"D"
21,"far-from-aligned","near-anchor",4,7,1,"50",43,"pie",2,"C"
26,"far-from-aligned","near-anchor",1,5,1,"50",19,"pie",2,"B"
22,"far-from-aligned","near-anchor",3,10,2,"25",13,"pie",2,"D"
29,"far-from-aligned","near-anchor",4,7,1,"50",57,"pie",2,"A"
23,"far-from-aligned","near-anchor",2,10,2,"25",15,"pie",2,"D"
21,"far-from-aligned","near-anchor",4,6,1,"25",19,"pie",2,"C"
42,"aligned","far-anchor",8,0,2,"0",0,"line",2,"G"
44,"aligned","far-anchor",6,0,1,"75",31,"line",2,"B"
20,"aligned","far-anchor",5,0,0,"75",55,"line",2,"D"
36,"aligned","far-anchor",11,0,1,"0",0,"line",2,"G"
40,"aligned","far-anchor",10,0,0,"0",0,"line",2,"G"
39,"aligned","far-anchor",11,0,1,"50",50,"line",2,"G"
52,"near-aligned","far-anchor",2,3,2,"0",3,"line",2,"E"
39,"near-aligned","far-anchor",11,3,1,"100",58,"line",2,"B"
39,"near-aligned","far-anchor",11,1,1,"50",49,"line",2,"C"
32,"near-aligned","far-anchor",7,4,2,"25",29,"line",2,"G"
39,"near-aligned","far-anchor",11,4,1,"100",57,"line",2,"F"
38,"near-aligned","far-anchor",12,3,2,"75",34,"line",2,"C"
44,"near-aligned","far-anchor",6,1,1,"0",1,"line",2,"E"
37,"near-aligned","far-anchor",12,4,2,"100",59,"line",2,"E"
44,"near-aligned","far-anchor",6,3,1,"50",47,"line",2,"D"
16,"far-from-aligned","far-anchor",9,8,1,"75 and 75",67,"line",2,"G"
52,"far-from-aligned","far-anchor",2,11,2,"25",36,"line",2,"F"
51,"far-from-aligned","far-anchor",1,6,1,"0",6,"line",2,"B"
31,"far-from-aligned","far-anchor",6,5,1,"50",14,"line",2,"A"
20,"far-from-aligned","far-anchor",5,5,0,"25",10,"line",2,"A"
33,"far-from-aligned","far-anchor",8,6,2,"50",56,"line",2,"E"
30,"far-from-aligned","far-anchor",5,9,0,"100",61,"line",2,"D"
54,"far-from-aligned","far-anchor",4,10,1,"25",35,"line",2,"D"
33,"far-from-aligned","far-anchor",8,8,2,"50",9,"line",2,"G"
52,"aligned","far-anchor",2,0,2,"100",48,"pie",2,"D"
32,"aligned","far-anchor",7,0,2,"25",25,"pie",2,"A"
30,"aligned","far-anchor",5,0,0,"100",70,"pie",2,"A"
52,"aligned","far-anchor",2,0,2,"25",25,"pie",2,"G"
18,"aligned","far-anchor",7,0,2,"25",7,"pie",2,"F"
19,"aligned","far-anchor",6,0,1,"0",0,"pie",2,"G"
20,"near-aligned","far-anchor",5,2,0,"75",73,"pie",2,"B"
39,"near-aligned","far-anchor",11,4,1,"50",7,"pie",2,"G"
54,"near-aligned","far-anchor",4,1,1,"75",20,"pie",2,"C"
43,"near-aligned","far-anchor",7,3,2,"50",47,"pie",2,"G"
34,"near-aligned","far-anchor",9,4,1,"100",62,"pie",2,"A"
16,"near-aligned","far-anchor",9,3,1,"75",56,"pie",2,"D"
30,"near-aligned","far-anchor",5,2,0,"50",48,"pie",2,"D"
44,"near-aligned","far-anchor",6,2,1,"25",23,"pie",2,"B"
45,"near-aligned","far-anchor",5,4,0,"75",34,"pie",2,"C"
41,"far-from-aligned","far-anchor",9,7,1,"75",41,"pie",2,"A"
42,"far-from-aligned","far-anchor",8,7,2,"50",43,"pie",2,"C"
38,"far-from-aligned","far-anchor",12,6,2,"25",19,"pie",2,"C"
30,"far-from-aligned","far-anchor",5,7,0,"0",7,"pie",2,"G"
45,"far-from-aligned","far-anchor",5,8,0,"50",42,"pie",2,"A"
52,"far-from-aligned","far-anchor",2,11,2,"75",12,"pie",2,"D"
17,"far-from-aligned","far-anchor",8,7,2,"50",43,"pie",2,"C"
45,"far-from-aligned","far-anchor",5,8,0,"25",17,"pie",2,"A"
39,"far-from-aligned","far-anchor",11,6,1,"50",17,"pie",2,"G"
50,"aligned","anchor",0,0,0,"50 and 100",50,"line",3,"D"
50,"aligned","anchor",0,0,0,"25 and 75",25,"line",3,"G"
25,"near-aligned","anchor",0,3,0,"75 and 100",72,"line",3,"D"
25,"near-aligned","anchor",0,3,0,"25 and 50",22,"line",3,"G"
25,"far-from-aligned","anchor",0,10,0,"75 and 100",65,"line",3,"A"
25,"far-from-aligned","anchor",0,5,0,"0 and 25",5,"line",3,"E"
25,"aligned","anchor",0,0,0,"25 and 50",25,"pie",3,"C"
25,"aligned","anchor",0,0,0,"25 and 50",25,"pie",3,"A"
50,"near-aligned","anchor",0,1,0,"0 and 50",1,"pie",3,"F"
50,"near-aligned","anchor",0,3,0,"50 and 100",47,"pie",3,"G"
25,"far-from-aligned","anchor",0,12,0,"50 and 75",38,"pie",3,"E"
25,"far-from-aligned","anchor",0,8,0,"75 and 100",67,"pie",3,"A"
24,"aligned","near-anchor",1,0,1,"25",1,"line",3,"A"
24,"aligned","near-anchor",1,0,1,"25",25,"line",3,"D"
21,"aligned","near-anchor",4,0,1,"75",75,"line",3,"G"
46,"aligned","near-anchor",4,0,1,"75",29,"line",3,"C"
24,"aligned","near-anchor",1,0,1,"25",1,"line",3,"G"
22,"near-aligned","near-anchor",3,2,2,"50",30,"line",3,"D"
46,"near-aligned","near-anchor",4,2,1,"50",6,"line",3,"F"
46,"near-aligned","near-anchor",4,3,1,"75",32,"line",3,"D"
28,"near-aligned","near-anchor",3,1,2,"0",1,"line",3,"E"
27,"near-aligned","near-anchor",2,4,2,"25",29,"line",3,"F"
23,"near-aligned","near-anchor",2,1,2,"0 and 25",1,"line",3,"F"
24,"far-from-aligned","near-anchor",1,5,1,"75",56,"line",3,"C"
26,"far-from-aligned","near-anchor",1,5,1,"0",5,"line",3,"G"
27,"far-from-aligned","near-anchor",2,7,2,"50",57,"line",3,"B"
24,"far-from-aligned","near-anchor",1,6,1,"75",69,"line",3,"C"
22,"far-from-aligned","near-anchor",3,8,2,"75",61,"line",3,"E"
21,"far-from-aligned","near-anchor",4,8,1,"25",12,"line",3,"D"
46,"far-from-aligned","near-anchor",4,10,1,"50",14,"line",3,"D"
21,"aligned","near-anchor",4,0,1,"50",50,"pie",3,"C"
24,"aligned","near-anchor",1,0,1,"0",0,"pie",3,"E"
21,"aligned","near-anchor",4,0,1,"100",79,"pie",3,"D"
29,"aligned","near-anchor",4,0,1,"50",50,"pie",3,"B"
28,"aligned","near-anchor",3,0,2,"0",0,"pie",3,"D"
27,"near-aligned","near-anchor",2,4,2,"75",44,"pie",3,"A"
28,"near-aligned","near-anchor",3,4,2,"25",29,"pie",3,"B"
27,"near-aligned","near-anchor",2,2,2,"0",2,"pie",3,"G"
29,"near-aligned","near-anchor",4,1,1,"75",45,"pie",3,"A"
28,"near-aligned","near-anchor",3,2,2,"50",52,"pie",3,"A"
47,"near-aligned","near-anchor",3,2,2,"50",48,"pie",3,"E"
49,"far-from-aligned","near-anchor",1,8,1,"50",42,"pie",3,"E"
29,"far-from-aligned","near-anchor",4,8,1,"75",38,"pie",3,"C"
23,"far-from-aligned","near-anchor",2,5,2,"75",57,"pie",3,"E"
29,"far-from-aligned","near-anchor",4,8,1,"75",38,"pie",3,"F"
29,"far-from-aligned","near-anchor",4,10,1,"100",61,"pie",3,"E"
26,"far-from-aligned","near-anchor",1,11,1,"50",61,"pie",3,"G"
27,"far-from-aligned","near-anchor",2,7,2,"0",7,"pie",3,"C"
37,"aligned","far-anchor",12,0,2,"25",25,"line",3,"G"
51,"aligned","far-anchor",1,0,1,"0",0,"line",3,"G"
15,"aligned","far-anchor",10,0,0,"25",10,"line",3,"E"
43,"aligned","far-anchor",7,0,2,"75",32,"line",3,"F"
45,"aligned","far-anchor",5,0,0,"25",25,"line",3,"A"
17,"aligned","far-anchor",8,0,2,"100",83,"line",3,"F"
41,"near-aligned","far-anchor",9,3,1,"25",22,"line",3,"B"
19,"near-aligned","far-anchor",6,2,1,"0",2,"line",3,"D"
20,"near-aligned","far-anchor",5,3,0,"25",8,"line",3,"C"
52,"near-aligned","far-anchor",2,2,2,"0",2,"line",3,"F"
37,"near-aligned","far-anchor",12,4,2,"50",46,"line",3,"E"
20,"near-aligned","far-anchor",5,1,0,"25",24,"line",3,"C"
40,"near-aligned","far-anchor",10,4,0,"75",31,"line",3,"E"
31,"near-aligned","far-anchor",6,4,1,"50",54,"line",3,"C"
39,"near-aligned","far-anchor",11,3,1,"75",33,"line",3,"D"
52,"far-from-aligned","far-anchor",2,11,2,"0",11,"line",3,"A"
17,"far-from-aligned","far-anchor",8,8,2,"75",67,"line",3,"B"
18,"far-from-aligned","far-anchor",7,8,2,"50",40,"line",3,"G"
51,"far-from-aligned","far-anchor",1,8,1,"75",16,"line",3,"D"
53,"far-from-aligned","far-anchor",3,10,2,"25",35,"line",3,"B"
51,"far-from-aligned","far-anchor",1,8,1,"0",8,"line",3,"G"
34,"far-from-aligned","far-anchor",9,6,1,"100",60,"line",3,"D"
38,"far-from-aligned","far-anchor",12,6,2,"0 and 50",6,"line",3,"D"
36,"far-from-aligned","far-anchor",11,5,1,"50",45,"line",3,"B"
20,"aligned","far-anchor",5,0,0,"100",80,"pie",3,"F"
40,"aligned","far-anchor",10,0,0,"25",25,"pie",3,"F"
17,"aligned","far-anchor",8,0,2,"75",75,"pie",3,"C"
44,"aligned","far-anchor",6,0,1,"50",50,"pie",3,"D"
32,"aligned","far-anchor",7,0,2,"0",0,"pie",3,"B"
19,"aligned","far-anchor",6,0,1,"75",75,"pie",3,"F"
31,"near-aligned","far-anchor",6,2,1,"25",23,"pie",3,"D"
33,"near-aligned","far-anchor",8,2,2,"100",65,"pie",3,"C"
51,"near-aligned","far-anchor",1,2,1,"100",47,"pie",3,"G"
34,"near-aligned","far-anchor",9,4,1,"0",4,"pie",3,"G"
31,"near-aligned","far-anchor",6,4,1,"75",40,"pie",3,"F"
34,"near-aligned","far-anchor",9,4,1,"25",21,"pie",3,"G"
53,"near-aligned","far-anchor",3,2,2,"0",2,"pie",3,"E"
55,"near-aligned","far-anchor",5,1,0,"0",1,"pie",3,"B"
16,"near-aligned","far-anchor",9,2,1,"25",7,"pie",3,"F"
32,"far-from-aligned","far-anchor",7,6,2,"75",37,"pie",3,"F"
30,"far-from-aligned","far-anchor",5,8,0,"50",12,"pie",3,"D"
16,"far-from-aligned","far-anchor",9,8,1,"50 and 50",42,"pie",3,"G"
18,"far-from-aligned","far-anchor",7,7,2,"50",43,"pie",3,"A"
42,"far-from-aligned","far-anchor",8,5,2,"50",13,"pie",3,"D"
34,"far-from-aligned","far-anchor",9,6,1,"50",10,"pie",3,"E"
31,"far-from-aligned","far-anchor",6,6,1,"75",38,"pie",3,"D"
18,"far-from-aligned","far-anchor",7,5,2,"25",20,"pie",3,"C"
18,"far-from-aligned","far-anchor",7,5,2,"75",70,"pie",3,"A"
25,"aligned","anchor",0,0,0,"50 and 75",50,"line",4,"B"
50,"aligned","anchor",0,0,0,"25 and 75",25,"line",4,"E"
50,"near-aligned","anchor",0,4,0,"50 and 100",46,"line",4,"E"
50,"near-aligned","anchor",0,2,0,"0 and 50",2,"line",4,"G"
50,"far-from-aligned","anchor",0,6,0,"25 and 75",19,"line",4,"E"
50,"far-from-aligned","anchor",0,7,0,"50 and 100",43,"line",4,"E"
25,"aligned","anchor",0,0,0,"50 and 75",50,"pie",4,"F"
25,"aligned","anchor",0,0,0,"50 and 75",50,"pie",4,"D"
50,"near-aligned","anchor",0,4,0,"50 and 100",46,"pie",4,"F"
50,"near-aligned","anchor",0,2,0,"0 and 50",2,"pie",4,"G"
25,"far-from-aligned","anchor",0,5,0,"75 and 100",70,"pie",4,"G"
25,"far-from-aligned","anchor",0,12,0,"50 and 75",38,"pie",4,"C"
27,"aligned","near-anchor",2,0,2,"75",48,"line",4,"D"
27,"aligned","near-anchor",2,0,2,"50",23,"line",4,"G"
27,"aligned","near-anchor",2,0,2,"75",48,"line",4,"C"
24,"aligned","near-anchor",1,0,1,"25",1,"line",4,"F"
22,"aligned","near-anchor",3,0,2,"50",50,"line",4,"A"
47,"near-aligned","near-anchor",3,1,2,"0",1,"line",4,"D"
27,"near-aligned","near-anchor",2,2,2,"75",46,"line",4,"D"
29,"near-aligned","near-anchor",4,2,1,"50",52,"line",4,"D"
23,"near-aligned","near-anchor",2,3,2,"75",72,"line",4,"F"
47,"near-aligned","near-anchor",3,2,2,"50",5,"line",4,"D"
47,"near-aligned","near-anchor",3,4,2,"50",46,"line",4,"G"
23,"far-from-aligned","near-anchor",2,7,2,"75",59,"line",4,"C"
48,"far-from-aligned","near-anchor",2,5,2,"50",7,"line",4,"F"
21,"far-from-aligned","near-anchor",4,6,1,"25",19,"line",4,"F"
23,"far-from-aligned","near-anchor",2,9,2,"75",66,"line",4,"B"
47,"far-from-aligned","near-anchor",3,7,2,"75",35,"line",4,"B"
48,"far-from-aligned","near-anchor",2,7,2,"25",18,"line",4,"F"
49,"far-from-aligned","near-anchor",1,5,1,"50",6,"line",4,"G"
49,"aligned","near-anchor",1,0,1,"25",25,"pie",4,"C"
22,"aligned","near-anchor",3,0,2,"50",50,"pie",4,"F"
24,"aligned","near-anchor",1,0,1,"75",75,"pie",4,"C"
24,"aligned","near-anchor",1,0,1,"75",51,"pie",4,"E"
23,"aligned","near-anchor",2,0,2,"75",52,"pie",4,"A"
24,"near-aligned","near-anchor",1,2,1,"50",28,"pie",4,"G"
29,"near-aligned","near-anchor",4,2,1,"50",52,"pie",4,"F"
21,"near-aligned","near-anchor",4,4,1,"50",46,"pie",4,"A"
29,"near-aligned","near-anchor",4,3,1,"75",43,"pie",4,"D"
28,"near-aligned","near-anchor",3,4,2,"50",54,"pie",4,"C"
28,"near-aligned","near-anchor",3,3,2,"50",53,"pie",4,"B"
21,"far-from-aligned","near-anchor",4,5,1,"25",20,"pie",4,"D"
49,"far-from-aligned","near-anchor",1,10,1,"25",15,"pie",4,"G"
22,"far-from-aligned","near-anchor",3,8,2,"75",61,"pie",4,"E"
22,"far-from-aligned","near-anchor",3,5,2,"50",33,"pie",4,"B"
26,"far-from-aligned","near-anchor",1,8,1,"100",66,"pie",4,"B"
26,"far-from-aligned","near-anchor",1,7,1,"50",17,"pie",4,"C"
47,"far-from-aligned","near-anchor",3,6,2,"50",44,"pie",4,"B"
44,"aligned","far-anchor",6,0,1,"50",6,"line",4,"G"
43,"aligned","far-anchor",7,0,2,"50",7,"line",4,"G"
42,"aligned","far-anchor",8,0,2,"50",8,"line",4,"C"
45,"aligned","far-anchor",5,0,0,"50",50,"line",4,"F"
51,"aligned","far-anchor",1,0,1,"25",25,"line",4,"G"
31,"aligned","far-anchor",6,0,1,"50",50,"line",4,"F"
32,"near-aligned","far-anchor",7,4,2,"100",64,"line",4,"D"
42,"near-aligned","far-anchor",8,3,2,"75",30,"line",4,"G"
34,"near-aligned","far-anchor",9,1,1,"0",1,"line",4,"G"
16,"near-aligned","far-anchor",9,1,1,"50",33,"line",4,"D"
35,"near-aligned","far-anchor",10,2,0,"50",48,"line",4,"A"
18,"near-aligned","far-anchor",7,2,2,"0",2,"line",4,"D"
18,"near-aligned","far-anchor",7,2,2,"25",23,"line",4,"E"
34,"near-aligned","far-anchor",9,4,1,"75",37,"line",4,"D"
15,"near-aligned","far-anchor",10,3,0,"25",22,"line",4,"B"
30,"far-from-aligned","far-anchor",5,6,0,"25",31,"line",4,"F"
34,"far-from-aligned","far-anchor",9,6,1,"25",31,"line",4,"C"
38,"far-from-aligned","far-anchor",12,6,2,"25 and 75",31,"line",4,"F"
42,"far-from-aligned","far-anchor",8,6,2,"25",19,"line",4,"D"
31,"far-from-aligned","far-anchor",6,6,1,"75",38,"line",4,"D"
45,"far-from-aligned","far-anchor",5,8,0,"50",42,"line",4,"D"
35,"far-from-aligned","far-anchor",10,7,0,"50",57,"line",4,"B"
41,"far-from-aligned","far-anchor",9,5,1,"50",45,"line",4,"B"
19,"far-from-aligned","far-anchor",6,8,1,"50",39,"line",4,"F"
15,"aligned","far-anchor",10,0,0,"100",85,"pie",4,"B"
40,"aligned","far-anchor",10,0,0,"100",60,"pie",4,"B"
15,"aligned","far-anchor",10,0,0,"50",50,"pie",4,"G"
18,"aligned","far-anchor",7,0,2,"50",50,"pie",4,"C"
30,"aligned","far-anchor",5,0,0,"50",20,"pie",4,"A"
33,"aligned","far-anchor",8,0,2,"75",42,"pie",4,"E"
17,"near-aligned","far-anchor",8,3,2,"25",22,"pie",4,"E"
33,"near-aligned","far-anchor",8,2,2,"50",48,"pie",4,"G"
51,"near-aligned","far-anchor",1,2,1,"100",47,"pie",4,"A"
33,"near-aligned","far-anchor",8,4,2,"50",13,"pie",4,"G"
32,"near-aligned","far-anchor",7,1,2,"100",67,"pie",4,"E"
30,"near-aligned","far-anchor",5,1,0,"75",44,"pie",4,"A"
31,"near-aligned","far-anchor",6,2,1,"50",17,"pie",4,"A"
36,"near-aligned","far-anchor",11,1,1,"75",38,"pie",4,"E"
18,"near-aligned","far-anchor",7,2,2,"75",55,"pie",4,"F"
45,"far-from-aligned","far-anchor",5,7,0,"50",12,"pie",4,"D"
54,"far-from-aligned","far-anchor",4,5,1,"100",41,"pie",4,"F"
16,"far-from-aligned","far-anchor",9,5,1,"50",45,"pie",4,"F"
17,"far-from-aligned","far-anchor",8,8,2,"50",41,"pie",4,"B"
51,"far-from-aligned","far-anchor",1,8,1,"25",33,"pie",4,"D"
32,"far-from-aligned","far-anchor",7,6,2,"50",56,"pie",4,"A"
35,"far-from-aligned","far-anchor",10,6,0,"75",34,"pie",4,"C"
15,"far-from-aligned","far-anchor",10,6,0,"50",41,"pie",4,"C"
43,"far-from-aligned","far-anchor",7,6,2,"75",38,"pie",4,"C"
