responseTime,prolificID,userID,questionNum,response,loadTime,questionID,selectedPart,alignmentCategory,anchorCategory,anchorDistance,alignmentDistance,round5Distance,alignmentType,alignmentPosition,chartType,UID,selectedLabel,A,B,C,D,E,F,G,A_ind,B_ind,C_ind,D_ind,E_ind,F_ind,G_ind,error,absError,correct
7.17,67bdb56696615a171c91c62c,1.0,18,27,2025-04-21 19:30:56.033,18.0,34,far-from-aligned,far-anchor,9,5,1,50,11,line,1,E,5,9,2,11,34,18,21,6,3,2,0,1,5,4,-7.0,7.0,False
10.736,67bdb56696615a171c91c62c,1.0,19,28,2025-04-21 19:31:03.907,19.0,25,near-aligned,anchor,0,2,0,50 and 75,48,pie,1,A,25,7,7,9,15,18,19,4,2,3,6,1,5,0,3.0,3.0,False
5.592,67bdb56696615a171c91c62c,1.0,20,36,2025-04-21 19:31:14.899,20.0,53,far-from-aligned,far-anchor,3,10,2,75,12,line,1,B,9,53,11,15,5,6,1,5,2,1,4,3,6,0,-17.0,17.0,False
5.344,67bdb56696615a171c91c62c,1.0,21,33,2025-04-21 19:31:20.776,21.0,48,near-aligned,near-anchor,2,3,2,25,22,line,1,A,48,4,12,2,6,18,10,3,0,1,4,2,5,6,-15.0,15.0,False
7.97,67bdb56696615a171c91c62c,1.0,22,23,2025-04-21 19:31:26.411,22.0,47,far-from-aligned,near-anchor,3,9,2,50,12,pie,1,E,11,11,12,12,47,4,3,5,4,6,0,1,2,3,-24.0,24.0,False
4.656,67bdb56696615a171c91c62c,1.0,23,26,2025-04-21 19:31:34.650,23.0,46,near-aligned,near-anchor,4,2,1,25,23,pie,1,D,18,9,6,46,2,8,11,5,2,0,3,6,1,4,-20.0,20.0,False
4.174,67bdb56696615a171c91c62c,1.0,24,10,2025-04-21 19:31:39.587,24.0,18,far-from-aligned,far-anchor,7,6,2,25,13,line,1,D,17,9,23,18,10,13,10,2,4,3,1,5,0,6,-8.0,8.0,False
5.771,67bdb56696615a171c91c62c,1.0,25,22,2025-04-21 19:31:46.151,25.0,53,near-aligned,far-anchor,3,3,2,0,3,line,1,C,12,7,53,3,6,12,7,5,6,1,0,3,4,2,-31.0,31.0,False
4.43,67bdb56696615a171c91c62c,1.0,26,25,2025-04-21 19:31:52.222,26.0,50,aligned,anchor,0,0,0,50 and 100,50,line,1,B,7,50,3,5,19,7,9,3,6,0,1,2,4,5,-25.0,25.0,False
2.914,67bdb56696615a171c91c62c,1.0,27,11,2025-04-21 19:31:56.912,27.0,17,far-from-aligned,far-anchor,8,5,2,25,20,pie,1,G,19,17,20,7,9,11,17,5,3,0,4,6,2,1,-6.0,6.0,False
4.035,67bdb56696615a171c91c62c,1.0,28,26,2025-04-21 19:32:00.152,28.0,27,aligned,near-anchor,2,0,2,25,25,pie,1,E,11,10,6,16,27,15,15,6,0,3,5,2,1,4,-1.0,1.0,False
5.54,67bdb56696615a171c91c62c,1.0,29,45,2025-04-21 19:32:04.451,29.0,50,aligned,anchor,0,0,0,25 and 75,25,pie,1,F,7,9,7,10,8,50,9,6,4,1,2,0,3,5,-5.0,5.0,False
4.054,67bdb56696615a171c91c62c,1.0,30,22,2025-04-21 19:32:10.268,30.0,25,far-from-aligned,anchor,0,7,0,25 and 50,18,pie,1,D,6,13,18,25,21,7,10,2,6,0,1,4,3,5,-3.0,3.0,False
4.819,67bdb56696615a171c91c62c,1.0,31,18,2025-04-21 19:32:14.594,31.0,24,far-from-aligned,near-anchor,1,9,1,50,41,line,1,G,3,7,10,18,28,10,24,1,4,2,5,0,6,3,-6.0,6.0,False
4.484,67bdb56696615a171c91c62c,1.0,32,22,2025-04-21 19:32:19.695,32.0,37,near-aligned,far-anchor,12,3,2,75,35,line,1,C,14,8,37,13,6,5,17,5,4,3,0,6,2,1,-15.0,15.0,False
4.712,67bdb56696615a171c91c62c,1.0,33,46,2025-04-21 19:32:24.443,33.0,50,aligned,anchor,0,0,0,50 and 100,50,line,1,E,1,11,5,9,50,11,13,4,3,2,1,6,0,5,-4.0,4.0,False
4.72,67bdb56696615a171c91c62c,1.0,34,27,2025-04-21 19:32:29.418,34.0,30,near-aligned,far-anchor,5,4,0,100,66,line,1,D,14,4,16,30,9,17,10,0,6,1,5,4,3,2,-3.0,3.0,False
3.838,67bdb56696615a171c91c62c,1.0,35,22,2025-04-21 19:32:34.396,35.0,25,far-from-aligned,anchor,0,7,0,0 and 25,7,line,1,E,13,13,17,14,25,11,7,4,5,3,2,1,6,0,-3.0,3.0,False
8.354,67bdb56696615a171c91c62c,1.0,36,27,2025-04-21 19:32:38.961,36.0,24,far-from-aligned,near-anchor,1,11,1,50,39,pie,1,A,24,9,19,14,8,10,16,3,0,4,2,5,6,1,3.0,3.0,False
5.725,67bdb56696615a171c91c62c,1.0,37,15,2025-04-21 19:32:50.051,37.0,16,near-aligned,far-anchor,9,2,1,0,2,line,1,F,18,19,8,13,2,16,24,4,2,3,5,0,1,6,-1.0,1.0,False
5.672,67bdb56696615a171c91c62c,1.0,38,17,2025-04-21 19:32:56.050,38.0,22,aligned,near-anchor,3,0,2,0,0,pie,1,F,2,23,15,15,9,22,14,4,1,5,2,6,0,3,-5.0,5.0,False
4.216,67bdb56696615a171c91c62c,1.0,39,26,2025-04-21 19:33:01.978,39.0,48,aligned,near-anchor,2,0,2,100,52,pie,1,C,21,5,48,9,3,13,1,3,4,6,1,5,0,2,-22.0,22.0,False
5.65,67bdb56696615a171c91c62c,1.0,40,35,2025-04-21 19:33:06.475,40.0,39,far-from-aligned,far-anchor,11,6,1,75,42,pie,1,D,19,11,10,39,8,6,7,2,6,1,4,5,3,0,-4.0,4.0,False
5.598,67bdb56696615a171c91c62c,1.0,41,18,2025-04-21 19:33:12.395,41.0,19,aligned,far-anchor,6,0,1,75,56,line,1,F,18,11,5,7,20,19,20,6,3,1,5,0,4,2,-1.0,1.0,False
4.932,67bdb56696615a171c91c62c,1.0,42,29,2025-04-21 19:33:18.275,42.0,46,aligned,near-anchor,4,0,1,0,0,line,1,G,18,6,3,18,6,3,46,3,2,5,1,6,4,0,-17.0,17.0,False
4.116,67bdb56696615a171c91c62c,1.0,43,29,2025-04-21 19:33:23.481,43.0,17,near-aligned,far-anchor,8,1,2,50,49,pie,1,E,18,10,21,1,17,17,16,6,3,1,2,4,0,5,12.0,12.0,False
3.498,67bdb56696615a171c91c62c,1.0,44,15,2025-04-21 19:33:27.888,44.0,23,aligned,near-anchor,2,0,2,75,75,pie,1,C,2,4,23,8,16,39,8,6,1,5,4,2,3,0,-8.0,8.0,False
5.839,67bdb56696615a171c91c62c,1.0,45,27,2025-04-21 19:33:31.674,45.0,42,near-aligned,far-anchor,8,3,2,0,3,pie,1,C,20,3,42,10,3,15,7,5,0,1,2,3,4,6,-15.0,15.0,False
5.866,67bdb56696615a171c91c62c,1.0,46,26,2025-04-21 19:33:37.785,46.0,31,aligned,far-anchor,6,0,1,100,69,line,1,D,8,20,6,31,17,6,12,5,0,3,6,2,4,1,-5.0,5.0,False
4.877,67bdb56696615a171c91c62c,1.0,47,36,2025-04-21 19:33:43.941,47.0,50,far-from-aligned,anchor,0,11,0,25 and 75,14,line,1,G,14,6,15,8,4,3,50,5,1,6,0,3,4,2,-14.0,14.0,False
4.705,67bdb56696615a171c91c62c,1.0,48,17,2025-04-21 19:33:49.092,48.0,21,near-aligned,near-anchor,4,4,1,25,21,line,1,G,16,14,16,7,14,12,21,3,6,4,0,1,5,2,-4.0,4.0,False
14.202,67bdb56696615a171c91c62c,1.0,49,17,2025-04-21 19:33:56.081,49.0,17,near-aligned,far-anchor,8,3,2,0,3,pie,1,E,26,18,3,5,17,14,17,2,4,0,6,1,3,5,0.0,0.0,True
5.419,67bdb56696615a171c91c62c,1.0,50,28,2025-04-21 19:34:10.566,50.0,52,near-aligned,far-anchor,2,3,2,25,28,line,1,E,8,6,11,3,52,9,11,0,1,5,3,4,6,2,-24.0,24.0,False
5.52,67bdb56696615a171c91c62c,1.0,51,17,2025-04-21 19:34:16.298,51.0,46,near-aligned,near-anchor,4,1,1,50,3,line,1,A,46,6,3,6,15,10,14,1,5,0,6,3,2,4,-29.0,29.0,False
5.785,67bdb56696615a171c91c62c,1.0,52,27,2025-04-21 19:34:22.072,52.0,23,far-from-aligned,near-anchor,2,5,2,25,7,pie,1,B,20,23,19,22,4,7,5,2,1,4,3,6,0,5,4.0,4.0,False
4.752,67bdb56696615a171c91c62c,1.0,53,22,2025-04-21 19:34:28.122,53.0,30,far-from-aligned,far-anchor,5,6,0,75,39,pie,1,G,24,11,5,4,12,14,30,0,2,6,1,5,4,3,-8.0,8.0,False
12.505,67bdb56696615a171c91c62c,1.0,54,37,2025-04-21 19:34:33.148,54.0,40,aligned,far-anchor,10,0,0,50,10,pie,1,C,18,7,40,10,3,15,7,5,6,1,0,2,4,3,-3.0,3.0,False
7.76,67bdb56696615a171c91c62c,1.0,55,22,2025-04-21 19:34:45.938,55.0,23,far-from-aligned,near-anchor,2,10,2,25,12,line,1,B,9,23,12,20,5,22,9,2,1,0,4,3,5,6,-1.0,1.0,False
4.29,67bdb56696615a171c91c62c,1.0,56,17,2025-04-21 19:34:54.001,56.0,20,aligned,far-anchor,5,0,0,0,0,line,1,A,20,4,6,7,22,19,22,0,2,6,4,5,3,1,-3.0,3.0,False
6.298,67bdb56696615a171c91c62c,1.0,57,27,2025-04-21 19:34:58.544,57.0,23,near-aligned,near-anchor,2,3,2,75,55,line,1,C,16,27,23,3,6,3,22,5,3,4,0,6,2,1,4.0,4.0,False
5.092,67bdb56696615a171c91c62c,1.0,58,36,2025-04-21 19:35:05.129,58.0,54,aligned,far-anchor,4,0,1,25,25,pie,1,F,6,9,12,8,5,54,6,5,4,1,0,2,3,6,-18.0,18.0,False
6.353,67bdb56696615a171c91c62c,1.0,59,14,2025-04-21 19:35:10.499,59.0,23,near-aligned,near-anchor,2,3,2,50,30,pie,1,A,23,5,2,15,28,11,16,2,6,1,5,0,3,4,-9.0,9.0,False
3.221,67bdb56696615a171c91c62c,1.0,60,22,2025-04-21 19:35:17.114,60.0,21,far-from-aligned,near-anchor,4,9,1,75,66,line,1,B,13,21,26,17,13,3,7,6,5,1,3,0,2,4,1.0,1.0,False
12.804,67bdb56696615a171c91c62c,1.0,61,16,2025-04-21 19:35:22.574,61.0,27,near-aligned,near-anchor,2,4,2,50,19,line,1,B,7,27,15,12,11,18,10,1,2,3,0,5,4,6,-11.0,11.0,False
4.583,67bdb56696615a171c91c62c,1.0,62,22,2025-04-21 19:35:35.635,62.0,27,far-from-aligned,near-anchor,2,7,2,0,7,pie,1,C,23,12,27,14,7,4,13,6,2,1,4,0,5,3,-5.0,5.0,False
5.146,67bdb56696615a171c91c62c,1.0,63,23,2025-04-21 19:35:40.498,63.0,17,aligned,far-anchor,8,0,2,50,50,line,1,G,21,12,21,13,14,2,17,5,6,1,0,2,3,4,6.0,6.0,False
10.163,67bdb56696615a171c91c62c,1.0,64,12,2025-04-21 19:35:45.927,64.0,24,far-from-aligned,near-anchor,1,10,1,75,61,pie,1,C,14,15,24,7,6,23,11,1,6,5,2,3,0,4,-12.0,12.0,False
44.736,67bdb56696615a171c91c62c,1.0,65,22,2025-04-21 19:35:56.403,65.0,22,far-from-aligned,near-anchor,3,11,2,25 and 25,14,line,1,F,5,17,16,12,14,22,14,6,5,3,2,4,1,0,0.0,0.0,True
4.392,67bdb56696615a171c91c62c,1.0,66,35,2025-04-21 19:36:41.410,66.0,52,far-from-aligned,far-anchor,2,5,2,25,30,line,1,D,1,15,18,52,4,7,3,3,6,0,4,2,1,5,-17.0,17.0,False
6.656,67bdb56696615a171c91c62c,1.0,67,33,2025-04-21 19:36:46.060,67.0,41,near-aligned,far-anchor,9,1,1,100,58,pie,1,E,1,10,7,20,41,19,2,6,4,3,2,5,0,1,-8.0,8.0,False
5.025,67bdb56696615a171c91c62c,1.0,68,28,2025-04-21 19:36:52.985,68.0,21,aligned,near-anchor,4,0,1,75,75,pie,1,A,21,7,25,32,4,7,4,5,4,1,0,2,3,6,7.0,7.0,False
4.942,67bdb56696615a171c91c62c,1.0,69,12,2025-04-21 19:36:58.284,69.0,20,far-from-aligned,far-anchor,5,7,0,25,12,pie,1,E,18,9,12,9,20,25,7,5,2,0,4,1,6,3,-8.0,8.0,False
5.045,67bdb56696615a171c91c62c,1.0,70,35,2025-04-21 19:37:03.500,70.0,47,far-from-aligned,near-anchor,3,7,2,25,18,line,1,G,13,15,6,7,1,11,47,4,3,6,1,5,0,2,-12.0,12.0,False
5.033,67bdb56696615a171c91c62c,1.0,71,14,2025-04-21 19:37:08.804,71.0,31,far-from-aligned,far-anchor,6,6,1,50,56,pie,1,D,13,6,7,31,4,14,25,6,1,2,5,4,3,0,-17.0,17.0,False
4.91,67bdb56696615a171c91c62c,1.0,72,28,2025-04-21 19:37:14.109,72.0,42,far-from-aligned,far-anchor,8,7,2,50,43,line,1,G,8,11,11,9,4,15,42,3,6,0,1,5,2,4,-14.0,14.0,False
4.039,67bdb56696615a171c91c62c,1.0,73,14,2025-04-21 19:37:21.686,73.0,24,aligned,near-anchor,1,0,1,0,0,line,1,B,6,24,14,9,8,16,23,4,0,6,5,1,2,3,-10.0,10.0,False
6.231,67bdb56696615a171c91c62c,1.0,74,22,2025-04-21 19:37:25.989,74.0,36,aligned,far-anchor,11,0,1,100,64,line,1,G,5,8,6,23,9,13,36,4,5,2,0,1,3,6,-14.0,14.0,False
4.003,67bdb56696615a171c91c62c,1.0,75,28,2025-04-21 19:37:32.625,75.0,19,near-aligned,far-anchor,6,3,1,75 and 100,78,pie,1,D,9,3,24,19,16,14,15,1,6,3,5,0,4,2,9.0,9.0,False
9.874,67bdb56696615a171c91c62c,1.0,76,34,2025-04-21 19:37:36.907,76.0,48,aligned,near-anchor,2,0,2,75,27,line,1,B,1,48,4,17,14,6,10,4,3,0,2,5,1,6,-14.0,14.0,False
4.546,67bdb56696615a171c91c62c,1.0,77,38,2025-04-21 19:37:47.090,77.0,42,aligned,far-anchor,8,0,2,0,0,pie,1,B,10,42,2,3,7,22,14,4,0,6,1,3,5,2,-4.0,4.0,False
4.464,67bdb56696615a171c91c62c,1.0,78,37,2025-04-21 19:37:51.899,78.0,55,near-aligned,far-anchor,5,4,0,25,29,pie,1,B,4,55,4,12,17,5,3,0,4,6,5,3,2,1,-18.0,18.0,False
8.998,67bdb56696615a171c91c62c,1.0,79,17,2025-04-21 19:37:56.611,79.0,18,near-aligned,far-anchor,7,2,2,50,48,line,1,B,5,18,12,11,2,20,32,2,4,3,0,5,1,6,-1.0,1.0,False
4.456,67bdb56696615a171c91c62c,1.0,80,27,2025-04-21 19:38:05.890,80.0,35,far-from-aligned,far-anchor,10,7,0,100,58,pie,1,F,22,16,15,7,1,35,4,4,0,1,6,2,5,3,-8.0,8.0,False
4.903,67bdb56696615a171c91c62c,1.0,81,24,2025-04-21 19:38:10.613,81.0,20,near-aligned,far-anchor,5,3,0,25,8,pie,1,D,4,17,14,20,20,8,17,5,4,6,1,3,0,2,4.0,4.0,False
6.93,67bdb56696615a171c91c62c,1.0,82,25,2025-04-21 19:38:15.770,82.0,48,aligned,near-anchor,2,0,2,0,0,line,1,E,17,1,1,3,48,20,10,4,3,6,1,0,2,5,-23.0,23.0,False
6.896,67bdb56696615a171c91c62c,1.0,83,32,2025-04-21 19:38:22.970,83.0,28,near-aligned,near-anchor,3,1,2,50,21,pie,1,E,15,7,17,12,28,6,15,5,3,6,4,2,0,1,4.0,4.0,False
9.047,67bdb56696615a171c91c62c,1.0,84,26,2025-04-21 19:38:30.139,84.0,41,near-aligned,far-anchor,9,4,1,100,55,pie,1,B,10,41,6,14,10,15,4,4,5,3,1,2,0,6,-15.0,15.0,False
5.997,67bdb56696615a171c91c62c,1.0,85,28,2025-04-21 19:38:44.686,85.0,40,near-aligned,far-anchor,10,1,0,100,59,line,1,G,26,4,8,1,17,4,40,4,2,0,6,3,1,5,-12.0,12.0,False
8.21,67bdb56696615a171c91c62c,1.0,86,29,2025-04-21 19:38:50.954,86.0,34,far-from-aligned,far-anchor,9,6,1,100,60,line,1,D,16,13,6,34,3,10,18,2,3,6,5,1,4,0,-5.0,5.0,False
5.553,67bdb56696615a171c91c62c,1.0,87,27,2025-04-21 19:38:59.449,87.0,46,near-aligned,near-anchor,4,4,1,50,46,pie,1,E,5,8,20,10,46,8,3,0,6,1,4,5,3,2,-19.0,19.0,False
4.47,67bdb56696615a171c91c62c,1.0,88,26,2025-04-21 19:39:05.260,88.0,45,aligned,far-anchor,5,0,0,50,5,pie,1,B,5,45,9,11,8,4,18,0,1,5,3,6,2,4,-19.0,19.0,False
4.795,67bdb56696615a171c91c62c,1.0,89,16,2025-04-21 19:39:10.007,89.0,16,near-aligned,far-anchor,9,1,1,100,83,pie,1,B,19,16,14,6,1,32,12,0,5,2,1,6,4,3,0.0,0.0,True
7.519,67bdb56696615a171c91c62c,1.0,90,27,2025-04-21 19:39:16.571,90.0,50,far-from-aligned,anchor,0,9,0,50 and 100,41,pie,1,F,4,9,5,9,12,50,11,4,6,3,2,0,5,1,-23.0,23.0,False
8.225,67bdb56696615a171c91c62c,1.0,91,26,2025-04-21 19:39:24.850,91.0,25,near-aligned,anchor,0,3,0,75 and 100,72,line,1,E,7,17,25,3,25,19,4,0,1,4,6,5,3,2,1.0,1.0,False
4.383,67bdb56696615a171c91c62c,1.0,92,17,2025-04-21 19:39:33.323,92.0,25,near-aligned,anchor,0,4,0,25 and 50,21,pie,1,D,12,12,9,25,23,7,12,1,4,0,2,6,5,3,-8.0,8.0,False
5.44,67bdb56696615a171c91c62c,1.0,93,33,2025-04-21 19:39:37.963,93.0,47,far-from-aligned,near-anchor,3,6,2,50,44,line,1,G,9,13,5,7,13,6,47,6,4,1,2,3,0,5,-14.0,14.0,False
3.995,67bdb56696615a171c91c62c,1.0,94,16,2025-04-21 19:39:43.700,94.0,18,far-from-aligned,far-anchor,7,7,2,25,18,pie,1,C,18,12,18,18,3,20,11,0,3,1,6,4,5,2,-2.0,2.0,False
4.004,67bdb56696615a171c91c62c,1.0,95,18,2025-04-21 19:39:47.975,95.0,23,near-aligned,near-anchor,2,3,2,50,47,pie,1,C,13,13,23,17,15,4,15,2,6,4,5,0,3,1,-5.0,5.0,False
4.828,67bdb56696615a171c91c62c,1.0,96,28,2025-04-21 19:39:52.262,96.0,37,far-from-aligned,far-anchor,12,6,2,50,7,pie,1,B,7,37,18,10,11,13,4,0,1,2,3,5,6,4,-9.0,9.0,False
4.655,647a79f26a3a291e6d70130d,2.0,1,2,2025-04-21 19:56:14.906,97.0,25,near-aligned,anchor,0,2,0,75 and 100,73,line,2,C,2,13,25,15,12,25,8,6,4,5,0,2,3,1,-23.0,23.0,False
1.617,647a79f26a3a291e6d70130d,2.0,2,2,2025-04-21 19:56:19.801,98.0,50,aligned,anchor,0,0,0,50 and 100,50,pie,2,C,4,12,50,3,8,12,11,2,0,6,4,1,5,3,-48.0,48.0,False
2.649,647a79f26a3a291e6d70130d,2.0,3,15,2025-04-21 19:56:21.656,99.0,23,far-from-aligned,near-anchor,2,10,2,25,15,pie,2,D,4,20,15,23,21,15,2,3,2,0,1,5,6,4,-8.0,8.0,False
2.484,647a79f26a3a291e6d70130d,2.0,4,12,2025-04-21 19:56:24.545,100.0,39,near-aligned,far-anchor,11,4,1,50,7,pie,2,G,2,11,7,19,6,16,39,5,3,0,4,2,6,1,-27.0,27.0,False
2.065,647a79f26a3a291e6d70130d,2.0,5,15,2025-04-21 19:56:27.265,101.0,22,far-from-aligned,near-anchor,3,6,2,25,19,line,2,G,6,2,19,7,7,37,22,4,5,0,3,2,6,1,-7.0,7.0,False
2.016,647a79f26a3a291e6d70130d,2.0,6,25,2025-04-21 19:56:29.569,102.0,25,far-from-aligned,anchor,0,5,0,50 and 75,45,line,2,A,25,20,5,15,22,8,5,4,1,2,0,5,6,3,0.0,0.0,True
1.728,647a79f26a3a291e6d70130d,2.0,7,30,2025-04-21 19:56:31.825,103.0,54,near-aligned,far-anchor,4,1,1,75,20,pie,2,C,5,12,54,8,3,9,9,0,1,3,6,2,4,5,-24.0,24.0,False
1.568,647a79f26a3a291e6d70130d,2.0,8,25,2025-04-21 19:56:33.809,104.0,54,far-from-aligned,far-anchor,4,10,1,25,35,line,2,D,2,7,11,54,9,9,8,4,2,6,5,1,3,0,-29.0,29.0,False
1.936,647a79f26a3a291e6d70130d,2.0,9,5,2025-04-21 19:56:35.609,105.0,50,far-from-aligned,anchor,0,12,0,50 and 100,38,line,2,G,3,8,10,8,9,12,50,1,3,0,2,4,6,5,-45.0,45.0,False
1.953,647a79f26a3a291e6d70130d,2.0,10,25,2025-04-21 19:56:37.785,106.0,32,near-aligned,far-anchor,7,4,2,25,29,line,2,G,8,15,4,17,20,4,32,2,5,6,0,4,1,3,-7.0,7.0,False
1.824,647a79f26a3a291e6d70130d,2.0,11,15,2025-04-21 19:56:39.977,107.0,41,far-from-aligned,far-anchor,9,7,1,75,41,pie,2,A,41,11,9,21,7,6,5,4,5,3,1,6,2,0,-26.0,26.0,False
1.992,647a79f26a3a291e6d70130d,2.0,12,25,2025-04-21 19:56:42.033,108.0,27,far-from-aligned,near-anchor,2,9,2,25,34,line,2,C,9,22,27,3,13,12,14,1,0,3,2,6,4,5,-2.0,2.0,False
3.08,647a79f26a3a291e6d70130d,2.0,13,10,2025-04-21 19:56:46.705,109.0,42,aligned,far-anchor,8,0,2,0,0,line,2,G,22,3,17,4,6,6,42,2,5,4,1,3,6,0,-32.0,32.0,False
1.864,647a79f26a3a291e6d70130d,2.0,14,15,2025-04-21 19:56:50.011,110.0,49,near-aligned,near-anchor,1,3,1,25,22,pie,2,C,8,7,49,10,4,14,8,4,6,3,1,2,5,0,-34.0,34.0,False
1.918,647a79f26a3a291e6d70130d,2.0,15,25,2025-04-21 19:56:52.131,111.0,39,near-aligned,far-anchor,11,4,1,100,57,line,2,F,12,7,13,14,11,39,4,2,0,1,3,4,5,6,-14.0,14.0,False
2.35,647a79f26a3a291e6d70130d,2.0,16,25,2025-04-21 19:56:54.307,112.0,47,near-aligned,near-anchor,3,1,2,25,24,line,2,C,7,12,47,3,4,14,13,0,6,3,4,2,5,1,-22.0,22.0,False
2.12,647a79f26a3a291e6d70130d,2.0,17,20,2025-04-21 19:56:56.905,113.0,21,near-aligned,near-anchor,4,2,1,50 and 75,52,pie,2,E,7,27,4,23,21,15,3,2,1,5,6,4,0,3,-1.0,1.0,False
2.095,647a79f26a3a291e6d70130d,2.0,18,25,2025-04-21 19:56:59.291,114.0,29,near-aligned,near-anchor,4,4,1,25,29,pie,2,A,29,5,3,4,25,21,13,2,6,5,1,0,4,3,-4.0,4.0,False
2.0,647a79f26a3a291e6d70130d,2.0,19,15,2025-04-21 19:57:01.609,115.0,52,far-from-aligned,far-anchor,2,11,2,25,36,line,2,F,11,11,4,4,8,52,10,3,2,6,0,5,4,1,-37.0,37.0,False
2.53,647a79f26a3a291e6d70130d,2.0,20,20,2025-04-21 19:57:03.841,116.0,22,near-aligned,near-anchor,3,1,2,75,74,line,2,C,6,18,22,23,11,16,4,0,4,5,1,2,3,6,-2.0,2.0,False
2.568,647a79f26a3a291e6d70130d,2.0,21,25,2025-04-21 19:57:06.609,117.0,44,aligned,far-anchor,6,0,1,75,31,line,2,B,8,44,5,10,13,11,9,0,3,6,2,1,4,5,-19.0,19.0,False
