selectedPart,alignmentCategory,anchorCategory,anchorDistance,alignmentDistance,round5Distance,alignmentType,alignmentPosition,chartType,UID,selectedLabel,A,B,C,D,E,F,G,A_ind,B_ind,C_ind,D_ind,E_ind,F_ind,G_ind,questionID
30,near-aligned,far-anchor,5,4,0,100,66,line,1,C,14,4,30,16,9,17,10,0,6,5,1,4,3,2,94
42,aligned,far-anchor,8,0,2,0,0,pie,1,G,10,2,3,7,22,14,42,4,6,1,3,5,2,0,95
34,far-from-aligned,far-anchor,9,5,1,50,11,line,1,D,5,9,2,34,11,18,21,6,3,2,1,0,5,4,96
25,far-from-aligned,anchor,0,6,0,50 and 75,44,pie,2,A,25,21,3,9,15,10,17,4,5,3,2,0,6,1,97
25,aligned,anchor,0,0,0,50 and 75,50,line,2,G,20,9,17,4,21,4,25,0,3,2,6,5,1,4,98
21,aligned,near-anchor,4,0,1,50,50,line,2,D,9,20,7,21,19,9,15,5,6,0,4,2,1,3,99
46,far-from-aligned,near-anchor,4,7,1,75,36,line,2,G,1,16,15,13,5,4,46,1,0,3,5,6,2,4,100
39,near-aligned,far-anchor,11,1,1,50,49,line,2,C,1,7,39,19,6,12,16,1,4,5,3,2,6,0,101
32,near-aligned,far-anchor,7,4,2,25,29,line,2,F,8,15,4,17,20,32,4,2,5,6,0,4,3,1,102
26,far-from-aligned,near-anchor,1,5,1,50,19,pie,2,F,17,5,14,15,7,26,16,5,0,1,3,6,2,4,103
21,aligned,near-anchor,4,0,1,0,0,pie,2,C,3,3,21,18,26,7,22,6,2,0,1,5,3,4,104
39,near-aligned,far-anchor,11,3,1,100,58,line,2,A,39,12,12,13,11,3,10,5,4,2,3,0,6,1,105
25,near-aligned,anchor,0,2,0,25 and 50,23,pie,2,G,10,22,1,13,4,25,25,0,3,5,1,4,6,2,106
30,aligned,far-anchor,5,0,0,100,70,pie,2,D,10,3,24,30,8,14,11,1,0,5,6,3,4,2,107
34,near-aligned,far-anchor,9,4,1,100,62,pie,2,B,8,34,3,23,10,4,18,3,5,0,4,2,6,1,108
43,near-aligned,far-anchor,7,3,2,50,47,pie,2,D,1,7,11,43,10,6,22,1,3,0,5,6,4,2,109
51,far-from-aligned,far-anchor,1,6,1,0,6,line,2,A,51,6,5,9,4,12,13,1,0,5,6,3,2,4,110
21,far-from-aligned,near-anchor,4,6,1,25,19,pie,2,C,11,8,21,16,6,19,19,6,2,1,3,4,0,5,111
54,near-aligned,far-anchor,4,1,1,75,20,pie,2,B,5,54,12,8,3,9,9,0,3,1,6,2,4,5,112
22,far-from-aligned,near-anchor,3,6,2,25,19,line,2,A,22,6,2,19,7,7,37,1,4,5,0,3,2,6,113
49,near-aligned,near-anchor,1,3,1,75,29,line,2,F,10,10,9,10,9,49,3,6,0,5,1,2,3,4,114
39,aligned,far-anchor,11,0,1,50,50,line,2,B,11,39,8,11,13,4,14,6,5,3,1,2,4,0,115
27,aligned,near-anchor,2,0,2,0,0,pie,2,A,27,3,4,18,17,21,10,0,6,4,5,2,3,1,116
24,aligned,near-anchor,1,0,1,25,25,line,2,B,18,24,8,11,17,21,1,4,2,1,6,0,3,5,117
39,far-from-aligned,far-anchor,11,6,1,50,17,pie,2,C,9,14,39,16,6,11,5,3,6,2,4,1,0,5,118
29,far-from-aligned,near-anchor,4,7,1,75,39,line,2,G,21,9,7,9,17,8,29,2,1,4,0,6,5,3,119
30,near-aligned,far-anchor,5,2,0,50,48,pie,2,C,4,2,30,24,18,1,21,5,2,4,3,6,1,0,120
36,aligned,far-anchor,11,0,1,0,0,line,2,F,6,4,3,26,16,36,9,2,3,4,1,5,0,6,121
18,aligned,far-anchor,7,0,2,25,7,pie,2,E,12,11,18,7,18,27,7,4,6,5,0,1,3,2,122
39,near-aligned,far-anchor,11,4,1,50,7,pie,2,D,2,11,7,39,19,6,16,5,3,0,1,4,2,6,123
47,far-from-aligned,near-anchor,3,7,2,75,35,pie,2,A,47,9,16,7,2,16,3,4,1,5,0,6,3,2,124
29,far-from-aligned,near-anchor,4,7,1,50,57,pie,2,G,8,14,17,9,15,8,29,0,6,3,4,1,2,5,125
31,far-from-aligned,far-anchor,6,5,1,50,14,line,2,G,12,14,6,19,9,9,31,2,0,4,6,3,5,1,126
39,near-aligned,far-anchor,11,4,1,100,57,line,2,G,12,7,13,14,11,4,39,2,0,1,3,4,6,5,127
52,far-from-aligned,far-anchor,2,11,2,75,12,pie,2,E,5,5,11,7,52,6,14,4,0,6,1,2,5,3,128
21,aligned,near-anchor,4,0,1,75,75,line,2,A,21,21,8,16,19,11,4,5,0,1,3,2,4,6,129
24,aligned,near-anchor,1,0,1,100,76,line,2,G,16,22,14,5,8,11,24,0,4,2,1,5,3,6,130
28,near-aligned,near-anchor,3,3,2,50,19,pie,2,G,14,12,11,5,16,14,28,0,3,6,1,4,5,2,131
25,far-from-aligned,anchor,0,11,0,75 and 100,64,pie,2,F,13,12,21,10,11,25,8,2,3,0,1,6,5,4,132
30,far-from-aligned,far-anchor,5,7,0,0,7,pie,2,C,11,3,30,9,10,30,7,4,2,1,5,3,6,0,133
52,aligned,far-anchor,2,0,2,25,25,pie,2,D,3,4,13,52,7,16,5,6,0,5,3,4,1,2,134
49,near-aligned,near-anchor,1,3,1,25,22,pie,2,C,8,7,49,10,4,14,8,4,6,3,1,2,5,0,135
50,aligned,anchor,0,0,0,50 and 100,50,pie,2,A,50,4,12,3,8,12,11,6,2,0,4,1,5,3,136
19,aligned,far-anchor,6,0,1,0,0,pie,2,E,6,13,36,13,19,8,5,6,1,3,4,0,2,5,137
22,near-aligned,near-anchor,3,1,2,75,74,line,2,B,6,22,18,23,11,16,4,0,5,4,1,2,3,6,138
50,aligned,anchor,0,0,0,25 and 75,25,line,2,E,12,6,4,7,50,14,7,5,6,2,0,3,1,4,139
40,aligned,far-anchor,10,0,0,0,0,line,2,A,40,18,1,2,17,17,5,0,6,2,4,3,5,1,140
21,near-aligned,near-anchor,4,2,1,50 and 75,52,pie,2,E,7,27,4,23,21,15,3,2,1,5,6,4,0,3,141
16,far-from-aligned,far-anchor,9,8,1,75 and 75,67,line,2,D,27,10,17,16,4,4,22,2,0,6,5,3,4,1,142
49,near-aligned,near-anchor,1,3,1,25,22,line,2,G,4,18,8,2,7,12,49,6,5,0,1,4,2,3,143
49,near-aligned,near-anchor,1,3,1,50,47,line,2,F,8,3,11,4,20,49,5,1,4,2,6,0,5,3,144
50,far-from-aligned,anchor,0,12,0,50 and 100,38,line,2,C,3,8,50,10,8,9,12,1,3,5,0,2,4,6,145
24,near-aligned,near-anchor,1,2,1,50,28,pie,2,E,6,21,9,7,24,21,12,3,0,4,1,2,6,5,146
22,far-from-aligned,near-anchor,3,10,2,25,13,pie,2,B,21,22,12,5,19,13,8,4,1,2,3,5,0,6,147
47,aligned,near-anchor,3,0,2,100,53,pie,2,C,10,11,47,11,1,10,10,4,1,6,5,0,3,2,148
44,near-aligned,far-anchor,6,3,1,50,47,line,2,B,7,44,9,9,18,7,6,4,5,1,6,0,3,2,149
45,far-from-aligned,far-anchor,5,8,0,50,42,pie,2,E,17,7,2,13,45,4,12,0,2,1,6,5,3,4,150
21,far-from-aligned,near-anchor,4,7,1,50,43,pie,2,E,13,8,9,26,21,8,15,6,4,2,1,3,0,5,151
33,far-from-aligned,far-anchor,8,8,2,50,9,line,2,F,15,9,10,3,14,33,16,3,0,4,2,5,1,6,152
16,near-aligned,far-anchor,9,3,1,75,56,pie,2,D,18,12,5,16,5,16,28,3,6,1,4,0,5,2,153
29,aligned,near-anchor,4,0,1,100,71,pie,2,A,29,8,5,8,32,14,4,6,0,5,2,1,3,4,154
20,near-aligned,far-anchor,5,2,0,75,73,pie,2,F,7,12,6,40,11,20,4,6,0,1,3,2,5,4,155
30,far-from-aligned,far-anchor,5,9,0,100,61,line,2,E,20,19,13,9,30,7,2,4,2,1,6,5,0,3,156
50,near-aligned,anchor,0,3,0,0 and 50,3,line,2,B,13,50,4,3,8,19,3,6,1,4,5,3,2,0,157
44,near-aligned,far-anchor,6,2,1,25,23,pie,2,A,44,10,11,22,1,7,5,2,6,5,1,0,3,4,158
32,aligned,far-anchor,7,0,2,25,25,pie,2,A,32,8,12,4,10,17,17,2,0,4,6,3,1,5,159
45,near-aligned,far-anchor,5,4,0,75,34,pie,2,C,20,9,45,12,1,10,3,5,3,4,0,6,1,2,160
42,aligned,far-anchor,8,0,2,0,0,line,2,B,22,42,3,17,4,6,6,2,0,5,4,1,3,6,161
48,near-aligned,near-anchor,2,4,2,50,6,line,2,A,48,3,13,4,6,20,6,1,5,2,4,0,3,6,162
25,near-aligned,anchor,0,2,0,75 and 100,73,line,2,E,2,13,15,12,25,25,8,6,4,0,2,5,3,1,163
27,aligned,near-anchor,2,0,2,50,23,pie,2,E,23,15,7,5,27,16,7,4,5,6,3,2,0,1,164
25,far-from-aligned,anchor,0,5,0,50 and 75,45,line,2,D,20,5,15,25,22,8,5,1,2,0,4,5,6,3,165
27,far-from-aligned,near-anchor,2,9,2,25,34,line,2,C,9,22,27,3,13,12,14,1,0,3,2,6,4,5,166
52,aligned,far-anchor,2,0,2,100,48,pie,2,E,2,11,10,7,52,8,10,4,1,5,2,6,3,0,167
38,far-from-aligned,far-anchor,12,6,2,25,19,pie,2,G,7,9,13,16,10,7,38,5,0,3,4,1,6,2,168
47,near-aligned,near-anchor,3,1,2,25,24,line,2,F,7,12,3,4,14,47,13,0,6,4,2,5,3,1,169
44,aligned,far-anchor,6,0,1,75,31,line,2,E,8,5,10,13,44,11,9,0,6,2,1,3,4,5,170
33,far-from-aligned,far-anchor,8,6,2,50,56,line,2,G,19,19,6,8,11,4,33,2,3,4,0,6,1,5,171
20,aligned,far-anchor,5,0,0,75,55,line,2,A,20,8,10,17,27,8,10,4,2,3,5,0,6,1,172
22,near-aligned,near-anchor,3,4,2,75,71,pie,2,E,15,7,7,28,22,15,6,3,1,6,0,5,4,2,173
27,aligned,near-anchor,2,0,2,75,48,line,2,E,4,11,8,13,27,21,16,6,3,1,0,4,5,2,174
52,near-aligned,far-anchor,2,3,2,0,3,line,2,F,8,3,7,3,15,52,12,3,4,2,0,6,1,5,175
45,far-from-aligned,far-anchor,5,8,0,25,17,pie,2,E,6,4,9,19,45,9,8,3,4,5,6,2,1,0,176
52,far-from-aligned,far-anchor,2,11,2,25,36,line,2,E,11,11,4,4,52,8,10,3,2,6,0,4,5,1,177
25,near-aligned,anchor,0,2,0,75 and 100,73,pie,2,A,25,6,3,36,14,14,2,5,4,1,2,0,3,6,178
37,near-aligned,far-anchor,12,4,2,100,59,line,2,F,9,13,9,4,21,37,7,2,4,3,6,1,5,0,179
25,aligned,anchor,0,0,0,50 and 75,50,pie,2,B,26,25,5,11,10,8,15,1,4,0,2,5,3,6,180
42,far-from-aligned,far-anchor,8,7,2,50,43,pie,2,G,7,2,10,21,13,5,42,3,5,2,0,6,1,4,181
23,far-from-aligned,near-anchor,2,10,2,25,15,pie,2,F,4,20,15,21,15,23,2,3,2,0,5,6,1,4,182
24,far-from-aligned,near-anchor,1,9,1,50,35,line,2,G,26,21,5,15,6,3,24,2,6,5,4,0,1,3,183
22,far-from-aligned,near-anchor,3,7,2,25,10,line,2,E,13,15,18,15,22,10,7,6,3,4,2,1,0,5,184
38,near-aligned,far-anchor,12,3,2,75,34,line,2,A,38,12,9,7,16,15,3,3,0,5,1,4,2,6,185
41,far-from-aligned,far-anchor,9,7,1,75,41,pie,2,C,11,9,41,21,7,6,5,5,3,4,1,6,2,0,186
20,far-from-aligned,far-anchor,5,5,0,25,10,line,2,D,12,8,26,20,10,5,19,4,2,3,1,0,5,6,187
17,far-from-aligned,far-anchor,8,7,2,50,43,pie,2,A,17,14,25,2,14,24,4,3,0,2,5,4,6,1,188
23,far-from-aligned,near-anchor,2,6,2,25,8,line,2,E,13,7,10,8,23,14,25,4,6,3,0,1,2,5,189
54,far-from-aligned,far-anchor,4,10,1,25,35,line,2,F,2,7,11,9,9,54,8,4,2,6,1,3,5,0,190
29,near-aligned,near-anchor,4,4,1,25,29,pie,2,G,5,3,4,25,21,13,29,6,5,1,0,4,3,2,191
44,near-aligned,far-anchor,6,1,1,0,1,line,2,A,44,11,10,10,21,1,3,1,6,4,2,3,0,5,192
26,far-from-aligned,near-anchor,1,5,1,0,5,line,3,F,5,10,6,18,13,26,22,0,3,2,5,6,1,4,193
31,near-aligned,far-anchor,6,4,1,75,40,pie,3,A,31,17,8,12,11,11,10,3,1,6,2,0,5,4,194
51,near-aligned,far-anchor,1,2,1,100,47,pie,3,F,15,9,12,6,5,51,2,0,1,4,2,3,5,6,195
19,near-aligned,far-anchor,6,2,1,0,2,line,3,D,11,30,2,19,14,12,12,6,2,0,1,5,4,3,196
24,far-from-aligned,near-anchor,1,5,1,75,56,line,3,B,4,24,18,26,6,6,16,6,4,2,3,0,1,5,197
32,far-from-aligned,far-anchor,7,6,2,75,37,pie,3,A,32,7,16,5,10,8,22,3,4,5,2,1,6,0,198
27,near-aligned,near-anchor,2,4,2,25,29,line,3,G,3,4,16,18,13,19,27,4,6,0,5,1,3,2,199
20,aligned,far-anchor,5,0,0,100,80,pie,3,B,22,20,7,4,17,12,18,1,6,4,5,0,3,2,200
28,near-aligned,near-anchor,3,2,2,50,52,pie,3,C,16,5,28,11,7,20,13,3,1,4,2,6,0,5,201
46,aligned,near-anchor,4,0,1,75,29,line,3,F,3,5,13,9,11,46,13,6,2,4,5,1,3,0,202
38,far-from-aligned,far-anchor,12,6,2,0 and 50,6,line,3,E,11,4,8,6,38,26,7,6,3,2,0,1,4,5,203
29,far-from-aligned,near-anchor,4,8,1,75,38,pie,3,G,16,13,2,16,6,18,29,1,5,4,2,0,6,3,204
15,aligned,far-anchor,10,0,0,25,10,line,3,D,18,13,10,15,7,9,28,5,2,0,1,4,3,6,205
43,aligned,far-anchor,7,0,2,75,32,line,3,A,43,7,8,10,18,8,6,3,6,1,4,2,5,0,206
34,near-aligned,far-anchor,9,4,1,0,4,pie,3,C,23,6,34,6,5,4,22,5,2,1,3,4,0,6,207
27,far-from-aligned,near-anchor,2,7,2,0,7,pie,3,A,27,22,9,14,7,8,13,1,3,2,5,0,4,6,208
25,far-from-aligned,anchor,0,12,0,50 and 75,38,pie,3,C,10,14,25,17,12,6,16,0,5,3,6,1,4,2,209
25,aligned,anchor,0,0,0,25 and 50,25,pie,3,E,6,15,10,19,25,10,15,1,4,6,0,2,3,5,210
17,aligned,far-anchor,8,0,2,100,83,line,3,D,8,12,8,17,25,14,16,0,1,4,6,2,3,5,211
51,far-from-aligned,far-anchor,1,8,1,0,8,line,3,B,3,51,9,8,8,5,16,3,1,6,0,5,2,4,212
25,near-aligned,anchor,0,3,0,25 and 50,22,line,3,F,7,12,18,12,10,25,16,6,5,4,0,1,2,3,213
29,near-aligned,near-anchor,4,1,1,75,45,pie,3,G,16,19,4,6,12,14,29,1,2,3,0,6,5,4,214
28,aligned,near-anchor,3,0,2,0,0,pie,3,B,26,28,13,2,19,4,8,5,0,3,4,2,1,6,215
40,aligned,far-anchor,10,0,0,25,25,pie,3,D,13,17,8,40,4,8,10,4,1,0,2,3,5,6,216
29,far-from-aligned,near-anchor,4,8,1,75,38,pie,3,F,7,27,8,3,9,29,17,5,1,0,2,4,3,6,217
51,aligned,far-anchor,1,0,1,0,0,line,3,G,6,5,4,3,21,10,51,3,4,2,5,6,1,0,218
37,aligned,far-anchor,12,0,2,25,25,line,3,B,14,37,20,3,14,7,5,6,2,1,5,3,4,0,219
39,near-aligned,far-anchor,11,3,1,75,33,line,3,E,9,17,8,8,39,9,10,5,0,2,1,3,4,6,220
30,far-from-aligned,far-anchor,5,8,0,50,12,pie,3,E,11,7,9,23,30,12,8,4,5,2,6,1,0,3,221
25,far-from-aligned,anchor,0,10,0,75 and 100,65,line,3,A,25,15,10,18,10,13,9,5,3,0,1,6,4,2,222
34,far-from-aligned,far-anchor,9,6,1,100,60,line,3,E,11,3,25,6,34,6,15,2,4,3,6,5,0,1,223
24,aligned,near-anchor,1,0,1,25,25,line,3,G,24,8,12,10,17,5,24,4,1,6,3,0,5,2,224
27,near-aligned,near-anchor,2,4,2,75,44,pie,3,B,7,27,7,13,22,11,13,6,4,0,2,5,1,3,225
