selectedPart,alignmentCategory,anchorCategory,anchorDistance,alignmentDistance,round5Distance,alignmentType,alignmentPosition,chartType,UID,selectedLabel,A,B,C,D,E,F,G,A_ind,B_ind,C_ind,D_ind,E_ind,F_ind,G_ind,questionID
21,aligned,near-anchor,4,0,1,75,75,pie,1,A,21,7,25,32,4,7,4,5,4,1,0,2,3,6,68
20,far-from-aligned,far-anchor,5,7,0,25,12,pie,1,E,18,9,12,9,20,25,7,5,2,0,4,1,6,3,69
47,far-from-aligned,near-anchor,3,7,2,25,18,line,1,G,13,15,6,7,1,11,47,4,3,6,1,5,0,2,70
31,far-from-aligned,far-anchor,6,6,1,50,56,pie,1,D,13,6,7,31,4,14,25,6,1,2,5,4,3,0,71
42,far-from-aligned,far-anchor,8,7,2,50,43,line,1,G,8,11,11,9,4,15,42,3,6,0,1,5,2,4,72
24,aligned,near-anchor,1,0,1,0,0,line,1,B,6,24,14,9,8,16,23,4,0,6,5,1,2,3,73
36,aligned,far-anchor,11,0,1,100,64,line,1,G,5,8,6,23,9,13,36,4,5,2,0,1,3,6,74
19,near-aligned,far-anchor,6,3,1,75 and 100,78,pie,1,D,9,3,24,19,16,14,15,1,6,3,5,0,4,2,75
48,aligned,near-anchor,2,0,2,75,27,line,1,B,1,48,4,17,14,6,10,4,3,0,2,5,1,6,76
42,aligned,far-anchor,8,0,2,0,0,pie,1,B,10,42,2,3,7,22,14,4,0,6,1,3,5,2,77
55,near-aligned,far-anchor,5,4,0,25,29,pie,1,B,4,55,4,12,17,5,3,0,4,6,5,3,2,1,78
18,near-aligned,far-anchor,7,2,2,50,48,line,1,B,5,18,12,11,2,20,32,2,4,3,0,5,1,6,79
35,far-from-aligned,far-anchor,10,7,0,100,58,pie,1,F,22,16,15,7,1,35,4,4,0,1,6,2,5,3,80
20,near-aligned,far-anchor,5,3,0,25,8,pie,1,D,4,17,14,20,20,8,17,5,4,6,1,3,0,2,81
48,aligned,near-anchor,2,0,2,0,0,line,1,E,17,1,1,3,48,20,10,4,3,6,1,0,2,5,82
28,near-aligned,near-anchor,3,1,2,50,21,pie,1,E,15,7,17,12,28,6,15,5,3,6,4,2,0,1,83
41,near-aligned,far-anchor,9,4,1,100,55,pie,1,B,10,41,6,14,10,15,4,4,5,3,1,2,0,6,84
40,near-aligned,far-anchor,10,1,0,100,59,line,1,G,26,4,8,1,17,4,40,4,2,0,6,3,1,5,85
34,far-from-aligned,far-anchor,9,6,1,100,60,line,1,D,16,13,6,34,3,10,18,2,3,6,5,1,4,0,86
46,near-aligned,near-anchor,4,4,1,50,46,pie,1,E,5,8,20,10,46,8,3,0,6,1,4,5,3,2,87
45,aligned,far-anchor,5,0,0,50,5,pie,1,B,5,45,9,11,8,4,18,0,1,5,3,6,2,4,88
16,near-aligned,far-anchor,9,1,1,100,83,pie,1,B,19,16,14,6,1,32,12,0,5,2,1,6,4,3,89
50,far-from-aligned,anchor,0,9,0,50 and 100,41,pie,1,F,4,9,5,9,12,50,11,4,6,3,2,0,5,1,90
25,near-aligned,anchor,0,3,0,75 and 100,72,line,1,E,7,17,25,3,25,19,4,0,1,4,6,5,3,2,91
25,near-aligned,anchor,0,4,0,25 and 50,21,pie,1,D,12,12,9,25,23,7,12,1,4,0,2,6,5,3,92
47,far-from-aligned,near-anchor,3,6,2,50,44,line,1,G,9,13,5,7,13,6,47,6,4,1,2,3,0,5,93
18,far-from-aligned,far-anchor,7,7,2,25,18,pie,1,C,18,12,18,18,3,20,11,0,3,1,6,4,5,2,94
23,near-aligned,near-anchor,2,3,2,50,47,pie,1,C,13,13,23,17,15,4,15,2,6,4,5,0,3,1,95
37,far-from-aligned,far-anchor,12,6,2,50,7,pie,1,B,7,37,18,10,11,13,4,0,1,2,3,5,6,4,96
25,near-aligned,anchor,0,2,0,75 and 100,73,line,2,C,2,13,25,15,12,25,8,6,4,5,0,2,3,1,97
50,aligned,anchor,0,0,0,50 and 100,50,pie,2,C,4,12,50,3,8,12,11,2,0,6,4,1,5,3,98
23,far-from-aligned,near-anchor,2,10,2,25,15,pie,2,D,4,20,15,23,21,15,2,3,2,0,1,5,6,4,99
39,near-aligned,far-anchor,11,4,1,50,7,pie,2,G,2,11,7,19,6,16,39,5,3,0,4,2,6,1,100
22,far-from-aligned,near-anchor,3,6,2,25,19,line,2,G,6,2,19,7,7,37,22,4,5,0,3,2,6,1,101
25,far-from-aligned,anchor,0,5,0,50 and 75,45,line,2,A,25,20,5,15,22,8,5,4,1,2,0,5,6,3,102
54,near-aligned,far-anchor,4,1,1,75,20,pie,2,C,5,12,54,8,3,9,9,0,1,3,6,2,4,5,103
54,far-from-aligned,far-anchor,4,10,1,25,35,line,2,D,2,7,11,54,9,9,8,4,2,6,5,1,3,0,104
50,far-from-aligned,anchor,0,12,0,50 and 100,38,line,2,G,3,8,10,8,9,12,50,1,3,0,2,4,6,5,105
32,near-aligned,far-anchor,7,4,2,25,29,line,2,G,8,15,4,17,20,4,32,2,5,6,0,4,1,3,106
41,far-from-aligned,far-anchor,9,7,1,75,41,pie,2,A,41,11,9,21,7,6,5,4,5,3,1,6,2,0,107
27,far-from-aligned,near-anchor,2,9,2,25,34,line,2,C,9,22,27,3,13,12,14,1,0,3,2,6,4,5,108
42,aligned,far-anchor,8,0,2,0,0,line,2,G,22,3,17,4,6,6,42,2,5,4,1,3,6,0,109
49,near-aligned,near-anchor,1,3,1,25,22,pie,2,C,8,7,49,10,4,14,8,4,6,3,1,2,5,0,110
39,near-aligned,far-anchor,11,4,1,100,57,line,2,F,12,7,13,14,11,39,4,2,0,1,3,4,5,6,111
47,near-aligned,near-anchor,3,1,2,25,24,line,2,C,7,12,47,3,4,14,13,0,6,3,4,2,5,1,112
21,near-aligned,near-anchor,4,2,1,50 and 75,52,pie,2,E,7,27,4,23,21,15,3,2,1,5,6,4,0,3,113
29,near-aligned,near-anchor,4,4,1,25,29,pie,2,A,29,5,3,4,25,21,13,2,6,5,1,0,4,3,114
52,far-from-aligned,far-anchor,2,11,2,25,36,line,2,F,11,11,4,4,8,52,10,3,2,6,0,5,4,1,115
22,near-aligned,near-anchor,3,1,2,75,74,line,2,C,6,18,22,23,11,16,4,0,4,5,1,2,3,6,116
44,aligned,far-anchor,6,0,1,75,31,line,2,B,8,44,5,10,13,11,9,0,3,6,2,1,4,5,117
45,near-aligned,far-anchor,5,4,0,75,34,pie,2,C,20,9,45,12,1,10,3,5,3,4,0,6,1,2,118
49,near-aligned,near-anchor,1,3,1,25,22,line,2,A,49,4,18,8,2,7,12,3,6,5,0,1,4,2,119
36,aligned,far-anchor,11,0,1,0,0,line,2,G,6,4,3,26,16,9,36,2,3,4,1,5,6,0,120
39,far-from-aligned,far-anchor,11,6,1,50,17,pie,2,G,9,14,16,6,11,5,39,3,6,4,1,0,5,2,121
20,aligned,far-anchor,5,0,0,75,55,line,2,D,8,10,17,20,27,8,10,2,3,5,4,0,6,1,122
52,near-aligned,far-anchor,2,3,2,0,3,line,2,E,8,3,7,3,52,15,12,3,4,2,0,1,6,5,123
20,near-aligned,far-anchor,5,2,0,75,73,pie,2,B,7,20,12,6,40,11,4,6,5,0,1,3,2,4,124
46,far-from-aligned,near-anchor,4,7,1,75,36,line,2,D,1,16,15,46,13,5,4,1,0,3,4,5,6,2,125
28,near-aligned,near-anchor,3,3,2,50,19,pie,2,G,14,12,11,5,16,14,28,0,3,6,1,4,5,2,126
19,aligned,far-anchor,6,0,1,0,0,pie,2,G,6,13,36,13,8,5,19,6,1,3,4,2,5,0,127
22,far-from-aligned,near-anchor,3,10,2,25,13,pie,2,D,21,12,5,22,19,13,8,4,2,3,1,5,0,6,128
17,far-from-aligned,far-anchor,8,7,2,50,43,pie,2,C,14,25,17,2,14,24,4,0,2,3,5,4,6,1,129
20,far-from-aligned,far-anchor,5,5,0,25,10,line,2,A,20,12,8,26,10,5,19,1,4,2,3,0,5,6,130
25,far-from-aligned,anchor,0,11,0,75 and 100,64,pie,2,F,13,12,21,10,11,25,8,2,3,0,1,6,5,4,131
24,near-aligned,near-anchor,1,2,1,50,28,pie,2,E,6,21,9,7,24,21,12,3,0,4,1,2,6,5,132
38,near-aligned,far-anchor,12,3,2,75,34,line,2,C,12,9,38,7,16,15,3,0,5,3,1,4,2,6,133
50,aligned,anchor,0,0,0,25 and 75,25,line,2,E,12,6,4,7,50,14,7,5,6,2,0,3,1,4,134
39,aligned,far-anchor,11,0,1,50,50,line,2,G,11,8,11,13,4,14,39,6,3,1,2,4,0,5,135
26,far-from-aligned,near-anchor,1,5,1,50,19,pie,2,B,17,26,5,14,15,7,16,5,2,0,1,3,6,4,136
30,near-aligned,far-anchor,5,2,0,50,48,pie,2,D,4,2,24,30,18,1,21,5,2,3,4,6,1,0,137
42,far-from-aligned,far-anchor,8,7,2,50,43,pie,2,C,7,2,42,10,21,13,5,3,5,4,2,0,6,1,138
30,aligned,far-anchor,5,0,0,100,70,pie,2,A,30,10,3,24,8,14,11,6,1,0,5,3,4,2,139
22,near-aligned,near-anchor,3,4,2,75,71,pie,2,D,15,7,7,22,28,15,6,3,1,6,5,0,4,2,140
38,far-from-aligned,far-anchor,12,6,2,25,19,pie,2,C,7,9,38,13,16,10,7,5,0,2,3,4,1,6,141
39,near-aligned,far-anchor,11,3,1,100,58,line,2,B,12,39,12,13,11,3,10,4,5,2,3,0,6,1,142
37,near-aligned,far-anchor,12,4,2,100,59,line,2,E,9,13,9,4,37,21,7,2,4,3,6,5,1,0,143
32,aligned,far-anchor,7,0,2,25,25,pie,2,A,32,8,12,4,10,17,17,2,0,4,6,3,1,5,144
33,far-from-aligned,far-anchor,8,6,2,50,56,line,2,E,19,19,6,8,33,11,4,2,3,4,0,5,6,1,145
23,far-from-aligned,near-anchor,2,6,2,25,8,line,2,E,13,7,10,8,23,14,25,4,6,3,0,1,2,5,146
43,near-aligned,far-anchor,7,3,2,50,47,pie,2,G,1,7,11,10,6,22,43,1,3,0,6,4,2,5,147
24,far-from-aligned,near-anchor,1,9,1,50,35,line,2,B,26,24,21,5,15,6,3,2,3,6,5,4,0,1,148
27,aligned,near-anchor,2,0,2,50,23,pie,2,B,23,27,15,7,5,16,7,4,2,5,6,3,0,1,149
52,aligned,far-anchor,2,0,2,25,25,pie,2,G,3,4,13,7,16,5,52,6,0,5,4,1,2,3,150
21,far-from-aligned,near-anchor,4,6,1,25,19,pie,2,C,11,8,21,16,6,19,19,6,2,1,3,4,0,5,151
22,far-from-aligned,near-anchor,3,7,2,25,10,line,2,C,13,15,22,18,15,10,7,6,3,1,4,2,0,5,152
16,near-aligned,far-anchor,9,3,1,75,56,pie,2,D,18,12,5,16,5,16,28,3,6,1,4,0,5,2,153
21,aligned,near-anchor,4,0,1,0,0,pie,2,C,3,3,21,18,26,7,22,6,2,0,1,5,3,4,154
31,far-from-aligned,far-anchor,6,5,1,50,14,line,2,A,31,12,14,6,19,9,9,1,2,0,4,6,3,5,155
25,near-aligned,anchor,0,2,0,25 and 50,23,pie,2,E,10,22,1,13,25,4,25,0,3,5,1,2,4,6,156
49,near-aligned,near-anchor,1,3,1,75,29,line,2,A,49,10,10,9,10,9,3,3,6,0,5,1,2,4,157
47,aligned,near-anchor,3,0,2,100,53,pie,2,E,10,11,11,1,47,10,10,4,1,5,0,6,3,2,158
27,aligned,near-anchor,2,0,2,75,48,line,2,D,4,11,8,27,13,21,16,6,3,1,4,0,5,2,159
25,far-from-aligned,anchor,0,6,0,50 and 75,44,pie,2,G,21,3,9,15,10,17,25,5,3,2,0,6,1,4,160
27,aligned,near-anchor,2,0,2,0,0,pie,2,F,3,4,18,17,21,27,10,6,4,5,2,3,0,1,161
49,near-aligned,near-anchor,1,3,1,50,47,line,2,E,8,3,11,4,49,20,5,1,4,2,6,5,0,3,162
21,aligned,near-anchor,4,0,1,75,75,line,2,A,21,21,8,16,19,11,4,5,0,1,3,2,4,6,163
48,near-aligned,near-anchor,2,4,2,50,6,line,2,D,3,13,4,48,6,20,6,5,2,4,1,0,3,6,164
47,far-from-aligned,near-anchor,3,7,2,75,35,pie,2,D,9,16,7,47,2,16,3,1,5,0,4,6,3,2,165
52,far-from-aligned,far-anchor,2,11,2,75,12,pie,2,D,5,5,11,52,7,6,14,4,0,6,2,1,5,3,166
25,aligned,anchor,0,0,0,50 and 75,50,line,2,G,20,9,17,4,21,4,25,0,3,2,6,5,1,4,167
21,aligned,near-anchor,4,0,1,50,50,line,2,D,9,20,7,21,19,9,15,5,6,0,4,2,1,3,168
44,near-aligned,far-anchor,6,2,1,25,23,pie,2,B,10,44,11,22,1,7,5,6,2,5,1,0,3,4,169
21,far-from-aligned,near-anchor,4,7,1,50,43,pie,2,C,13,8,21,9,26,8,15,6,4,3,2,1,0,5,170
16,far-from-aligned,far-anchor,9,8,1,75 and 75,67,line,2,G,27,10,17,4,4,22,16,2,0,6,3,4,1,5,171
18,aligned,far-anchor,7,0,2,25,7,pie,2,F,12,11,18,7,27,18,7,4,6,5,0,3,1,2,172
40,aligned,far-anchor,10,0,0,0,0,line,2,G,18,1,2,17,17,5,40,6,2,4,3,5,1,0,173
29,aligned,near-anchor,4,0,1,100,71,pie,2,A,29,8,5,8,32,14,4,6,0,5,2,1,3,4,174
25,aligned,anchor,0,0,0,50 and 75,50,pie,2,C,26,5,25,11,10,8,15,1,0,4,2,5,3,6,175
29,far-from-aligned,near-anchor,4,7,1,75,39,line,2,C,21,9,29,7,9,17,8,2,1,3,4,0,6,5,176
45,far-from-aligned,far-anchor,5,8,0,50,42,pie,2,A,45,17,7,2,13,4,12,5,0,2,1,6,3,4,177
39,near-aligned,far-anchor,11,1,1,50,49,line,2,C,1,7,39,19,6,12,16,1,4,5,3,2,6,0,178
51,far-from-aligned,far-anchor,1,6,1,0,6,line,2,B,6,51,5,9,4,12,13,0,1,5,6,3,2,4,179
30,far-from-aligned,far-anchor,5,9,0,100,61,line,2,D,20,19,13,30,9,7,2,4,2,1,5,6,0,3,180
52,aligned,far-anchor,2,0,2,100,48,pie,2,D,2,11,10,52,7,8,10,4,1,5,6,2,3,0,181
33,far-from-aligned,far-anchor,8,8,2,50,9,line,2,G,15,9,10,3,14,16,33,3,0,4,2,5,6,1,182
34,near-aligned,far-anchor,9,4,1,100,62,pie,2,A,34,8,3,23,10,4,18,5,3,0,4,2,6,1,183
45,far-from-aligned,far-anchor,5,8,0,25,17,pie,2,A,45,6,4,9,19,9,8,2,3,4,5,6,1,0,184
30,far-from-aligned,far-anchor,5,7,0,0,7,pie,2,G,11,3,9,10,30,7,30,4,2,5,3,6,0,1,185
44,near-aligned,far-anchor,6,3,1,50,47,line,2,D,7,9,9,44,18,7,6,4,1,6,5,0,3,2,186
50,near-aligned,anchor,0,3,0,0 and 50,3,line,2,B,13,50,4,3,8,19,3,6,1,4,5,3,2,0,187
25,near-aligned,anchor,0,2,0,75 and 100,73,pie,2,A,25,6,3,36,14,14,2,5,4,1,2,0,3,6,188
29,far-from-aligned,near-anchor,4,7,1,50,57,pie,2,A,29,8,14,17,9,15,8,5,0,6,3,4,1,2,189
44,near-aligned,far-anchor,6,1,1,0,1,line,2,E,11,10,10,21,44,1,3,6,4,2,3,1,0,5,190
24,aligned,near-anchor,1,0,1,25,25,line,2,E,18,8,11,17,24,21,1,4,1,6,0,2,3,5,191
24,aligned,near-anchor,1,0,1,100,76,line,2,C,16,22,24,14,5,8,11,0,4,6,2,1,5,3,192
37,near-aligned,far-anchor,12,4,2,50,46,line,3,E,9,6,11,10,37,17,10,2,6,5,1,4,0,3,193
20,aligned,far-anchor,5,0,0,100,80,pie,3,F,22,7,4,17,12,20,18,1,4,5,0,3,6,2,194
27,far-from-aligned,near-anchor,2,7,2,0,7,pie,3,C,22,9,27,14,7,8,13,3,2,1,5,0,4,6,195
24,aligned,near-anchor,1,0,1,25,1,line,3,G,1,8,2,26,29,10,24,0,5,3,6,2,4,1,196
25,near-aligned,anchor,0,3,0,25 and 50,22,line,3,G,7,12,18,12,10,16,25,6,5,4,0,1,3,2,197
36,far-from-aligned,far-anchor,11,5,1,50,45,line,3,B,14,36,5,9,17,14,5,1,4,0,2,3,6,5,198
23,near-aligned,near-anchor,2,1,2,0 and 25,1,line,3,F,1,2,8,10,21,23,35,0,6,3,5,2,1,4,199
45,aligned,far-anchor,5,0,0,25,25,line,3,A,45,17,6,12,12,2,6,3,0,1,6,5,2,4,200
31,far-from-aligned,far-anchor,6,6,1,75,38,pie,3,D,7,7,18,31,7,6,24,5,2,4,3,1,6,0,201
24,far-from-aligned,near-anchor,1,5,1,75,56,line,3,C,4,18,24,26,6,6,16,6,2,4,3,0,1,5,202
25,far-from-aligned,anchor,0,12,0,50 and 75,38,pie,3,E,10,14,17,12,25,6,16,0,5,6,1,3,4,2,203
21,aligned,near-anchor,4,0,1,100,79,pie,3,D,13,11,4,21,24,3,24,4,2,1,6,3,5,0,204
28,near-aligned,near-anchor,3,2,2,50,52,pie,3,A,28,16,5,11,7,20,13,4,3,1,2,6,0,5,205
31,near-aligned,far-anchor,6,4,1,50,54,line,3,C,7,10,31,25,6,15,6,2,1,5,4,0,6,3,206
49,far-from-aligned,near-anchor,1,8,1,50,42,pie,3,E,14,7,9,11,49,5,5,3,1,6,4,5,0,2,207
55,near-aligned,far-anchor,5,1,0,0,1,pie,3,B,9,55,10,11,1,12,2,2,1,5,3,0,6,4,208
27,near-aligned,near-anchor,2,4,2,75,44,pie,3,A,27,7,7,13,22,11,13,4,6,0,2,5,1,3,209
46,near-aligned,near-anchor,4,3,1,75,32,line,3,D,12,10,5,46,2,13,12,1,6,0,4,2,3,5,210
22,far-from-aligned,near-anchor,3,8,2,75,61,line,3,E,10,15,17,19,22,8,9,3,4,6,0,5,2,1,211
18,far-from-aligned,far-anchor,7,5,2,75,70,pie,3,A,18,9,15,12,15,14,17,5,2,1,6,0,3,4,212
21,aligned,near-anchor,4,0,1,75,75,line,3,G,4,13,1,26,25,10,21,6,3,0,4,2,1,5,213
28,aligned,near-anchor,3,0,2,0,0,pie,3,D,26,13,2,28,19,4,8,5,3,4,0,2,1,6,214
40,aligned,far-anchor,10,0,0,25,25,pie,3,F,13,17,8,4,8,40,10,4,1,0,3,5,2,6,215
29,far-from-aligned,near-anchor,4,10,1,100,61,pie,3,E,3,13,36,4,29,5,10,0,3,1,4,5,2,6,216
33,near-aligned,far-anchor,8,2,2,100,65,pie,3,C,7,2,33,2,12,27,17,2,0,5,6,1,4,3,217
27,far-from-aligned,near-anchor,2,7,2,50,57,line,3,B,28,27,8,7,16,2,12,2,5,1,0,6,4,3,218
17,far-from-aligned,far-anchor,8,8,2,75,67,line,3,B,16,17,7,17,7,15,21,6,5,2,4,1,3,0,219
51,far-from-aligned,far-anchor,1,8,1,0,8,line,3,G,3,9,8,8,5,16,51,3,6,0,5,2,4,1,220
31,near-aligned,far-anchor,6,2,1,25,23,pie,3,D,19,8,5,31,18,2,17,6,5,1,2,0,4,3,221
44,aligned,far-anchor,6,0,1,50,50,pie,3,D,15,8,6,44,7,7,13,3,2,6,5,4,1,0,222
34,near-aligned,far-anchor,9,4,1,25,21,pie,3,G,13,17,7,9,8,12,34,5,6,3,1,4,0,2,223
23,far-from-aligned,near-anchor,2,5,2,75,57,pie,3,E,14,2,28,17,23,3,13,0,3,2,6,4,5,1,224
18,far-from-aligned,far-anchor,7,5,2,25,20,pie,3,C,19,3,18,20,3,10,27,6,2,1,0,4,5,3,225
